"","host_species","betacov","pred"
"1","Anoura caudifer",0,0.0167329503808272
"2","Anoura geoffroyi",0,0.0289235856487264
"3","Antrozous pallidus",0,0.0142348180442465
"4","Artibeus cinereus",0,0.0532442414080872
"5","Artibeus fimbriatus",0,0.0636861975462933
"6","Artibeus jamaicensis",0,0.0901305852943709
"7","Artibeus lituratus",1,0.0994618389228566
"8","Artibeus obscurus",1,0.0497108884447144
"9","Artibeus phaeotis",1,0.0892629980427167
"10","Artibeus toltecus",0,0.0806154237178508
"11","Aselliscus stoliczkanus",1,0.255581769794496
"12","Barbastella barbastellus",0,0.310932975588142
"13","Cardioderma cor",0,0.120408978804635
"14","Carollia brevicauda",0,0.0913725082874531
"15","Carollia perspicillata",1,0.0870362460874391
"16","Carollia subrufa",0,0.0608639346280583
"17","Chaerephon plicatus",1,0.266299731136259
"18","Chaerephon pumilus",0,0.276313982691652
"19","Chalinolobus gouldii",0,0.0835693648530875
"20","Chalinolobus morio",0,0.0768972873113774
"21","Chrotopterus auritus",0,0.0185092577610933
"22","Corynorhinus townsendii",0,0.013883068410757
"23","Cynomops abrasus",0,0.0208954864608306
"24","Cynomops planirostris",0,0.0197178931021922
"25","Cynopterus brachyotis",1,0.393644320475261
"26","Cynopterus horsfieldii",1,0.271623175601997
"27","Cynopterus sphinx",1,0.410046201607984
"28","Desmodus rotundus",0,0.0527004407225959
"29","Diaemus youngi",0,0.0562031199568376
"30","Diclidurus albus",0,0.045491352097664
"31","Diphylla ecaudata",0,0.064309078472329
"32","Dobsonia anderseni",0,0.0384239480520324
"33","Dobsonia moluccensis",1,0.111006567128939
"34","Dyacopterus spadiceus",1,0.327142239635139
"35","Eidolon dupreanum",1,0.175762302479719
"36","Eidolon helvum",1,0.447011729480027
"37","Eonycteris spelaea",1,0.339678626132639
"38","Epomophorus gambianus",1,0.414480274262007
"39","Epomophorus labiatus",1,0.328618512903682
"40","Epomophorus wahlbergi",0,0.265676429284679
"41","Epomops dobsonii",0,0.220391193534651
"42","Epomops franqueti",1,0.341938128561146
"43","Eptesicus brasiliensis",0,0.0315535094722651
"44","Eptesicus diminutus",0,0.0211945497717876
"45","Eptesicus furinalis",0,0.0455629463218518
"46","Eptesicus fuscus",0,0.0232765566361928
"47","Eptesicus nilssonii",1,0.252890997739069
"48","Eptesicus serotinus",1,0.342093590043502
"49","Euderma maculatum",0,0.0290009701953292
"50","Eumops auripendulus",0,0.0382595992961804
"51","Eumops glaucinus",1,0.053667847046547
"52","Eumops patagonicus",0,0.0184009416446817
"53","Eumops perotis",0,0.0341846069535363
"54","Falsistrellus mackenziei",0,0.0766691078101999
"55","Glauconycteris argentata",0,0.126103318632966
"56","Glossophaga commissarisi",0,0.0212111901840759
"57","Glossophaga longirostris",0,0.0125255552264
"58","Glossophaga morenoi",0,0.0205285980900212
"59","Glossophaga soricina",0,0.0256743572831647
"60","Hipposideros abae",0,0.189601661310119
"61","Hipposideros armiger",1,0.303319905553081
"62","Hipposideros bicolor",0,0.174928135586405
"63","Hipposideros caffer",1,0.373752161521662
"64","Hipposideros cineraceus",0,0.248005101526912
"65","Hipposideros commersoni",1,0.315859764533087
"66","Hipposideros diadema",0,0.189315462089497
"67","Hipposideros galeritus",1,0.250066928847404
"68","Hipposideros gigas",0,0.282028239132166
"69","Hipposideros lankadiva",0,0.261591934261355
"70","Hipposideros larvatus",0,0.244733079941057
"71","Hipposideros lekaguli",0,0.189419002520308
"72","Hipposideros pomona",0,0.271239004853318
"73","Hipposideros pratti",1,0.259504996468443
"74","Hipposideros ruber",1,0.238342862356212
"75","Hipposideros speoris",0,0.259925367687148
"76","Hipposideros vittatus",0,0.250348522855733
"77","Histiotus montanus",0,0.0194008060445931
"78","Histiotus velatus",0,0.0345815139460324
"79","Hypsignathus monstrosus",0,0.349293126866728
"80","Hypsugo savii",1,0.324503790380639
"81","Ia io",1,0.277223406604075
"82","Lasionycteris noctivagans",0,0.0189901411140355
"83","Lasiurus blossevillii",0,0.0210636992874485
"84","Lasiurus borealis",0,0.0410362404804629
"85","Lasiurus cinereus",0,0.0203019954629704
"86","Lasiurus ega",0,0.0378203404014958
"87","Lasiurus egregius",0,0.0185649557576034
"88","Lasiurus intermedius",0,0.0531406982056119
"89","Lasiurus seminolus",0,0.049297191487055
"90","Lasiurus xanthinus",0,0.0301338813451614
"91","Leptonycteris curasoae",0,0.024828384969481
"92","Leptonycteris nivalis",0,0.0508765737308035
"93","Lichonycteris obscura",0,0.0440323679614446
"94","Lonchophylla robusta",0,0.00990549055320722
"95","Lonchorhina aurita",0,0.0214352488580526
"96","Lophostoma silvicolum",0,0.0125489354203055
"97","Macroglossus minimus",0,0.22735492854892
"98","Macrotus californicus",0,0.0161045698456011
"99","Megaerops niphanae",1,0.389996488418557
"100","Megaloglossus woermanni",1,0.258799361352644
"101","Mesophylla macconnelli",0,0.0384915385481608
"102","Micronycteris megalotis",0,0.00808056092319607
"103","Micropteropus pusillus",1,0.376787007842184
"104","Mimon crenulatum",0,0.0141740492287177
"105","Miniopterus australis",0,0.0152184279565526
"106","Miniopterus inflatus",0,0.148342634348901
"107","Miniopterus magnater",0,0.231095698322971
"108","Miniopterus natalensis",0,0.0208786966486946
"109","Miniopterus pusillus",0,0.252019668357686
"110","Miniopterus schreibersii",1,0.35790848772481
"111","Molossops neglectus",0,0.014710113748133
"112","Molossus molossus",0,0.0432351395056432
"113","Molossus rufus",0,0.0370899041163943
"114","Mops condylurus",1,0.303441755270831
"115","Mormoops megalophylla",0,0.0425286772700073
"116","Murina aurata",0,0.224015962187738
"117","Murina leucogaster",0,0.257736674902264
"118","Myonycteris torquata",0,0.355293451953478
"119","Myotis albescens",0,0.0305272674019824
"120","Myotis austroriparius",0,0.0414860433493949
"121","Myotis blythii",0,0.185475747255928
"122","Myotis brandtii",0,0.305696856114844
"123","Myotis californicus",0,0.0206406272089498
"124","Myotis capaccinii",0,0.327314414402019
"125","Myotis chiloensis",0,0.0117079975958294
"126","Myotis dasycneme",1,0.262171400799061
"127","Myotis daubentonii",1,0.312135157383231
"128","Myotis davidii",0,0.0157816122126571
"129","Myotis emarginatus",1,0.252685903348531
"130","Myotis evotis",0,0.0118228747033705
"131","Myotis grisescens",0,0.0405981712718967
"132","Myotis horsfieldii",0,0.232971803147459
"133","Myotis keenii",0,0.0182238863028158
"134","Myotis leibii",0,0.0390522940547712
"135","Myotis levis",0,0.0182348813289143
"136","Myotis longipes",0,0.222092106830012
"137","Myotis lucifugus",0,0.0194788036066345
"138","Myotis macrodactylus",0,0.120881971304231
"139","Myotis macropus",0,0.0198663516010832
"140","Myotis myotis",0,0.245586183170295
"141","Myotis mystacinus",0,0.0157816122126571
"142","Myotis nattereri",0,0.232957465949247
"143","Myotis nigricans",0,0.0405534884440839
"144","Myotis punicus",0,0.302265642633297
"145","Myotis ricketti",1,0.248137148028323
"146","Myotis riparius",0,0.0245759954057566
"147","Myotis septentrionalis",0,0.0183880642525468
"148","Myotis thysanodes",0,0.0259203785820293
"149","Myotis velifer",0,0.0418401415772266
"150","Myotis volans",0,0.0190893891144176
"151","Myotis yumanensis",0,0.021028086012724
"152","Mystacina tuberculata",0,0.010693174263449
"153","Natalus stramineus",0,0.0458078769809814
"154","Natalus tumidirostris",0,0.0227615193713977
"155","Neoromicia capensis",1,0.274674854631902
"156","Neoromicia nanus",0,0.260556009300707
"157","Nyctalus lasiopterus",0,0.316033964983689
"158","Nyctalus noctula",1,0.335574641387327
"159","Nyctalus plancyi",0,0.181256857100944
"160","Nycteris gambiensis",0,0.170483963025338
"161","Nycteris nana",0,0.153643071367986
