"","host_species","betacov","pred"
"133","Myotis californicus",0,0.0210911026071321
"134","Myotis capaccinii",0,0.466476231098144
"135","Myotis chiloensis",0,0.00716199020760189
"136","Myotis dasycneme",1,0.385001188444217
"137","Myotis daubentonii",1,0.478381178615668
"138","Myotis davidii",0,0.0598871428021099
"139","Myotis emarginatus",1,0.394010603576435
"140","Myotis evotis",0,0.0133775688621857
"141","Myotis grisescens",0,0.0347997393346548
"142","Myotis horsfieldii",1,0.337074957312358
"143","Myotis keenii",0,0.0195098040034021
"144","Myotis leibii",0,0.0349364260592342
"145","Myotis levis",0,0.0117797363598174
"146","Myotis longipes",0,0.286953863012105
"147","Myotis lucifugus",0,0.0710357569172697
"148","Myotis macrodactylus",0,0.183546960812017
"149","Myotis macropus",0,0.0272179534503007
"150","Myotis myotis",0,0.381112041105795
"151","Myotis mystacinus",0,0.0598871428021099
"152","Myotis nattereri",0,0.38511170841599
"153","Myotis nigricans",0,0.0446826274546501
"154","Myotis pequinius",1,0.274958029594434
"155","Myotis punicus",1,0.447510452462677
"156","Myotis ricketti",1,0.403391259139436
"157","Myotis riparius",0,0.0285619276468015
"158","Myotis septentrionalis",0,0.0201443770960677
"159","Myotis thysanodes",0,0.0256448293189895
"160","Myotis velifer",0,0.0517283592055278
"161","Myotis volans",0,0.0194638250473667
"162","Myotis yumanensis",0,0.0210510330730246
"163","Mystacina tuberculata",0,0.0321174363589367
"164","Nanonycteris veldkampii",1,0.578730026517565
"165","Natalus stramineus",0,0.0628371189395427
"166","Natalus tumidirostris",0,0.0241558242485153
"167","Neoromicia capensis",1,0.4626459900766
"168","Neoromicia nanus",0,0.451183821157637
"169","Neoromicia somalicus",1,0.442180048620134
"170","Nyctalus lasiopterus",0,0.447292765386145
"171","Nyctalus noctula",1,0.482859325075826
"172","Nyctalus plancyi",0,0.282596635234062
"173","Nycteris gambiensis",1,0.396145662611638
"174","Nycteris macrotis",1,0.448892961087521
"175","Nycteris nana",0,0.310514288566389
"176","Nycteris thebaica",0,0.493916520533068
"177","Nycticeius humeralis",0,0.050271031467561
"178","Nyctinomops laticaudatus",1,0.0537690661997125
"179","Nyctinomops macrotis",0,0.0490934793212078
"180","Philetor brachypterus",0,0.368741875945342
"181","Phyllostomus discolor",0,0.0236577639742646
"182","Phyllostomus hastatus",0,0.0148561679513135
"183","Pipistrellus abramus",1,0.428101952627354
"184","Pipistrellus coromandra",1,0.326881541976623
"185","Pipistrellus deserti",1,0.440731632175076
"186","Pipistrellus hesperidus",1,0.466692994570927
"187","Pipistrellus hesperus",0,0.0262722237456507
"188","Pipistrellus inexspectatus",0,0.278088845315967
"189","Pipistrellus kuhlii",1,0.486923387075838
"190","Pipistrellus nathusii",1,0.462428023572127
"191","Pipistrellus pipistrellus",1,0.473828211626717
"192","Pipistrellus pygmaeus",1,0.43285258129838
"193","Pipistrellus subflavus",0,0.0497444629967992
"194","Platyrrhinus helleri",0,0.098750883600646
"195","Platyrrhinus lineatus",0,0.0682519728728794
"196","Plecotus auritus",1,0.399726306264711
"197","Ptenochirus jagori",1,0.361761445125051
"198","Pteronotus davyi",1,0.0642125613844088
"199","Pteronotus parnellii",1,0.0622955484301806
"200","Pteronotus personatus",1,0.0662322160263748
"201","Pteropus admiralitatum",0,0.0756602200388727
"202","Pteropus alecto",1,0.254747207798588
"203","Pteropus capistratus",0,0.0612581399158222
"204","Pteropus conspicillatus",1,0.169845878804828
"205","Pteropus giganteus",1,0.50838301828748
"206","Pteropus hypomelanus",0,0.450573805948378
"207","Pteropus lylei",1,0.537533894628366
"208","Pteropus neohibernicus",0,0.135791099724854
"209","Pteropus poliocephalus",0,0.0701677004620387
"210","Pteropus rufus",1,0.17702679270678
"211","Pteropus scapulatus",0,0.249243141037779
"212","Pteropus vampyrus",0,0.522822167562131
"213","Rhinolophus acuminatus",1,0.359983969070681
"214","Rhinolophus affinis",1,0.384209860963507
"215","Rhinolophus blasii",1,0.48244517381131
"216","Rhinolophus capensis",0,0.0773244114854893
"217","Rhinolophus clivosus",1,0.454794603497827
"218","Rhinolophus coelophyllus",0,0.431270599985896
"219","Rhinolophus cornutus",1,0.218743716744093
"220","Rhinolophus creaghi",1,0.160190161168189
"221","Rhinolophus eloquens",0,0.0964511274234347
"222","Rhinolophus euryale",1,0.488331505680064
"223","Rhinolophus ferrumequinum",1,0.490922284788267
"224","Rhinolophus hildebrandtii",0,0.10703037926061
"225","Rhinolophus hipposideros",1,0.478317221226405
"226","Rhinolophus macrotis",1,0.360244922967194
"227","Rhinolophus malayanus",1,0.436904348314422
"228","Rhinolophus megaphyllus",0,0.0357483856794701
"229","Rhinolophus mehelyi",1,0.488762703921685
"230","Rhinolophus monoceros",1,0.186282195425743
"231","Rhinolophus pearsonii",1,0.390317766500436
"232","Rhinolophus pusillus",1,0.368677788934889
"233","Rhinolophus rex",1,0.405412379691827
"234","Rhinolophus rouxii",0,0.334529712901697
"235","Rhinolophus shameli",1,0.440224478897837
"236","Rhinolophus simulator",0,0.366285449458383
"237","Rhinolophus sinicus",1,0.333890963299935
"238","Rhinolophus stheno",1,0.405652789622329
"239","Rhinolophus thomasi",1,0.439699179378252
"240","Rhinonicteris aurantia",1,0.124782040538198
"241","Rhinopoma hardwickii",1,0.521018548441255
"242","Rhynchonycteris naso",0,0.0346561877727996
"243","Rousettus aegyptiacus",1,0.704499037853186
"244","Rousettus amplexicaudatus",1,0.574839723702936
"245","Rousettus leschenaultii",1,0.557095977163374
"246","Saccolaimus flaviventris",0,0.120422574835698
"247","Saccolaimus saccolaimus",0,0.352766284321681
"248","Scotophilus dinganii",1,0.465328220876901
"249","Scotophilus heathii",1,0.340008483392769
"250","Scotophilus kuhlii",1,0.0726836256985628
"251","Scotophilus leucogaster",1,0.47070285737473
"252","Scotophilus nigrita",0,0.470460442986329
"253","Scotophilus nux",0,0.336281044925268
