"","host_species","betacov","pred"
"1","Acerodon celebensis",1,0.114848173178464
"2","Anoura caudifer",0,0.0550170315879238
"3","Anoura geoffroyi",0,0.185502969142128
"4","Antrozous pallidus",0,0.0501514724629809
"5","Artibeus cinereus",0,0.0401249018806036
"6","Artibeus fimbriatus",0,0.109049670890139
"7","Artibeus jamaicensis",1,0.370780961202992
"8","Artibeus lituratus",1,0.337198500289021
"9","Artibeus obscurus",1,0.128974522217534
"10","Artibeus phaeotis",1,0.11752574955863
"11","Artibeus toltecus",0,0.118291485761195
"12","Aselliscus stoliczkanus",1,0.332274396532434
"13","Barbastella barbastellus",0,0.460020447530749
"14","Cardioderma cor",0,0.131927809502822
"15","Carollia brevicauda",0,0.221437133990315
"16","Carollia perspicillata",1,0.232430630720253
"17","Carollia sowelli",1,0.102512317222697
"18","Carollia subrufa",0,0.0457448346579788
"19","Chaerephon plicatus",1,0.433844669180175
"20","Chaerephon pumilus",1,0.310069403707108
"21","Chalinolobus gouldii",0,0.082216308324947
"22","Chalinolobus morio",0,0.0531885698129663
"23","Chrotopterus auritus",0,0.0517370907978938
"24","Corynorhinus townsendii",0,0.028823368730589
"25","Cynomops abrasus",0,0.0211702879414515
"26","Cynomops planirostris",0,0.0198354395025538
"27","Cynopterus brachyotis",1,0.589646157862055
"28","Cynopterus horsfieldii",1,0.349776205455969
"29","Cynopterus sphinx",1,0.718716512002844
"30","Desmodus rotundus",1,0.142503016744298
"31","Diaemus youngi",0,0.125265537615994
"32","Diclidurus albus",0,0.0829407983771589
"33","Diphylla ecaudata",0,0.153039173941376
"34","Dobsonia anderseni",0,0.0299503904471304
"35","Dobsonia moluccensis",1,0.070312054412972
"36","Dyacopterus spadiceus",1,0.331243144084836
"37","Eidolon dupreanum",1,0.2591255376831
"38","Eidolon helvum",1,0.716320605944279
"39","Emballonura alecto",1,0.228227841793359
"40","Eonycteris spelaea",1,0.698778111929124
"41","Epomophorus gambianus",1,0.566010599452276
"42","Epomophorus labiatus",1,0.500808493211369
"43","Epomophorus wahlbergi",0,0.393620551579106
"44","Epomops buettikoferi",1,0.316994170707395
"45","Epomops dobsonii",0,0.201004358752508
"46","Epomops franqueti",1,0.420146645273355
"47","Eptesicus brasiliensis",0,0.065558455032486
"48","Eptesicus diminutus",0,0.0133196591728366
"49","Eptesicus furinalis",0,0.0926250099622275
"50","Eptesicus fuscus",0,0.137719590285478
"51","Eptesicus nilssonii",1,0.508536885503413
"52","Eptesicus serotinus",1,0.673878021826071
"53","Euderma maculatum",0,0.0534012412973537
"54","Eumops auripendulus",0,0.105935245770247
"55","Eumops glaucinus",1,0.130655091284477
"56","Eumops patagonicus",0,0.00522531908785768
"57","Eumops perotis",0,0.160651714218227
"58","Falsistrellus mackenziei",0,0.0447224361319191
"59","Glauconycteris argentata",0,0.080799267753213
"60","Glauconycteris variegata",1,0.274870521504878
"61","Glossophaga commissarisi",0,0.0559868951316645
"62","Glossophaga longirostris",0,0.0152139791766558
"63","Glossophaga morenoi",0,0.021143326244407
"64","Glossophaga soricina",0,0.148801213084308
"65","Hipposideros abae",0,0.116106655944155
"66","Hipposideros armiger",1,0.476334061077417
"67","Hipposideros bicolor",0,0.165230630972919
"68","Hipposideros caffer",1,0.504573273306377
"69","Hipposideros cervinus",1,0.0876913073098476
"70","Hipposideros cineraceus",0,0.288205169537868
"71","Hipposideros commersoni",1,0.426933649905728
"72","Hipposideros diadema",0,0.236263374460151
"73","Hipposideros fuliginosus",1,0.106086576119852
"74","Hipposideros galeritus",1,0.382006234054513
"75","Hipposideros gigas",1,0.370438742719611
"76","Hipposideros lankadiva",0,0.303617096894736
"77","Hipposideros larvatus",1,0.441548256448865
"78","Hipposideros lekaguli",1,0.177395699299062
"79","Hipposideros pomona",1,0.366755790113325
"80","Hipposideros pratti",1,0.380867130743204
"81","Hipposideros ruber",1,0.246530442549923
"82","Hipposideros speoris",0,0.292814272938611
"83","Hipposideros vittatus",0,0.259867156486934
"84","Histiotus montanus",0,0.0151654300264332
"85","Histiotus velatus",0,0.029232309008606
"86","Hypsignathus monstrosus",0,0.53868567446276
"87","Hypsugo pulveratus",1,0.338310729465634
"88","Hypsugo savii",1,0.546137430917249
"89","Ia io",1,0.373438192776569
"90","Lasionycteris noctivagans",0,0.0968305266481462
"91","Lasiurus blossevillii",0,0.0698764132940364
"92","Lasiurus borealis",0,0.068894113211328
"93","Lasiurus cinereus",0,0.17995243901093
"94","Lasiurus ega",0,0.145713116885209
"95","Lasiurus egregius",0,0.00623625612341902
"96","Lasiurus intermedius",0,0.0538067588704024
"97","Lasiurus seminolus",0,0.0553428971675633
"98","Lasiurus xanthinus",0,0.020640196414577
"99","Leptonycteris curasoae",0,0.0340953837909959
"100","Leptonycteris nivalis",0,0.0853470807077188
"101","Lichonycteris obscura",0,0.0952013197136685
"102","Lissonycteris angolensis",1,0.573707346413999
"103","Lonchophylla robusta",0,0.0137357569797164
"104","Lonchorhina aurita",0,0.0328230715107409
"105","Lophostoma silvicolum",0,0.0270691945869144
"106","Macroglossus minimus",1,0.442077052207045
"107","Macrotus californicus",0,0.0159930097162648
"108","Megaerops ecaudatus",1,0.49933531039671
"109","Megaerops kusnotoi",1,0.0884823881202007
"110","Megaerops niphanae",1,0.541392733098529
"111","Megaloglossus woermanni",1,0.349373642113183
"112","Mesophylla macconnelli",0,0.0387396695015495
"113","Micronycteris megalotis",0,0.0110177837108347
"114","Micropteropus pusillus",1,0.580013858819553
"115","Mimon crenulatum",0,0.0308946197745839
"116","Miniopterus australis",0,0.142017620271854
"117","Miniopterus inflatus",0,0.12417679182895
"118","Miniopterus magnater",1,0.285615938601757
"119","Miniopterus natalensis",0,0.0755486508508509
"120","Miniopterus pusillus",0,0.221060684026167
"121","Miniopterus schreibersii",1,0.617039263665717
"122","Molossops neglectus",0,0.00420839676983418
"123","Molossus molossus",0,0.100546162846385
"124","Molossus rufus",0,0.0810145196020408
"125","Mops condylurus",1,0.397991340826412
"126","Mormoops megalophylla",0,0.0726846560628902
"127","Murina aurata",0,0.153302533898932
"128","Murina leucogaster",0,0.30157044369223
"129","Myonycteris torquata",1,0.517187975386795
"130","Myotis albescens",0,0.056998518362135
"131","Myotis austroriparius",0,0.0290361135399971
"132","Myotis blythii",0,0.499943075116839
"133","Myotis brandtii",0,0.542167370945432
"134","Myotis californicus",0,0.0557353180436752
"135","Myotis capaccinii",0,0.414345387288797
"136","Myotis chiloensis",0,0.00363826736558111
"137","Myotis dasycneme",1,0.571072839504752
"138","Myotis daubentonii",1,0.584873040098951
"139","Myotis davidii",0,0.032819797078938
"140","Myotis emarginatus",1,0.279372927250205
"141","Myotis evotis",0,0.0168931231196355
"142","Myotis grisescens",0,0.0364413983532459
"143","Myotis horsfieldii",1,0.282554664275832
"144","Myotis keenii",0,0.0216263598815673
"145","Myotis leibii",0,0.0446872348248618
"146","Myotis levis",0,0.0124262913990425
"147","Myotis longipes",0,0.116026256828513
"148","Myotis lucifugus",0,0.0543825865757656
"149","Myotis macrodactylus",0,0.23367953977097
"150","Myotis macropus",0,0.0195918929100926
"151","Myotis myotis",0,0.276074553191775
"152","Myotis mystacinus",0,0.032819797078938
"153","Myotis nattereri",0,0.265497157088081
"154","Myotis nigricans",0,0.0696776066034637
"155","Myotis pequinius",1,0.244503139441385
"156","Myotis punicus",1,0.194209230055354
"157","Myotis ricketti",1,0.297009726514194
"158","Myotis riparius",0,0.0447990391648946
"159","Myotis septentrionalis",0,0.0575917572149623
"160","Myotis thysanodes",0,0.067689322111258
"161","Myotis velifer",0,0.0343563027729055
"162","Myotis volans",0,0.0633534415540504
"163","Myotis yumanensis",0,0.0544833926539819
"164","Mystacina tuberculata",0,0.0190188089753355
"165","Nanonycteris veldkampii",1,0.426800295974659
"166","Natalus stramineus",0,0.0929636973938972
"167","Natalus tumidirostris",0,0.00958027347093595
"168","Neoromicia capensis",1,0.289214344535939
"169","Neoromicia nanus",0,0.270461687843374
"170","Neoromicia somalicus",1,0.254968762532693
"171","Neoromicia zuluensis",1,0.0607131551517884
"172","Nyctalus lasiopterus",0,0.463347766139478
"173","Nyctalus noctula",1,0.656853073581492
"174","Nyctalus plancyi",0,0.213413532163181
"175","Nycteris gambiensis",1,0.105210009748387
"176","Nycteris macrotis",1,0.366688059708058
"177","Nycteris nana",0,0.104897269861739
"178","Nycteris thebaica",1,0.526234757862878
"179","Nycticeius humeralis",0,0.0468200235091322
"180","Nyctinomops laticaudatus",1,0.110005533510432
"181","Nyctinomops macrotis",0,0.165600943716325
"182","Philetor brachypterus",0,0.154045829262619
"183","Phyllostomus discolor",0,0.057732152039788
"184","Phyllostomus hastatus",0,0.0348261078930568
"185","Pipistrellus abramus",1,0.376518586934172
"186","Pipistrellus coromandra",1,0.283601723998434
"187","Pipistrellus deserti",1,0.194531708453568
"188","Pipistrellus hesperidus",1,0.37710648900541
"189","Pipistrellus hesperus",0,0.0462614911318419
"190","Pipistrellus inexspectatus",0,0.0594462687706741
"191","Pipistrellus kuhlii",1,0.451627013301122
"192","Pipistrellus nathusii",1,0.460356143845621
"193","Pipistrellus pipistrellus",1,0.543463082094311
"194","Pipistrellus pygmaeus",1,0.399847324773044
"195","Pipistrellus subflavus",0,0.0630527567679321
"196","Pipistrellus tenuis",1,0.413054401268967
"197","Platyrrhinus helleri",0,0.105791041219728
"198","Platyrrhinus lineatus",0,0.133570455874473
"199","Plecotus auritus",1,0.386505495273814
"200","Ptenochirus jagori",1,0.322208631486516
"201","Pteronotus davyi",1,0.0774608831395988
"202","Pteronotus parnellii",1,0.134811150765808
"203","Pteronotus personatus",1,0.124463561952615
"204","Pteropus admiralitatum",0,0.0234641471190811
"205","Pteropus alecto",1,0.237319782379117
"206","Pteropus capistratus",0,0.00837075068719841
"207","Pteropus conspicillatus",1,0.155445498671061
"208","Pteropus giganteus",1,0.583900112092218
"209","Pteropus hypomelanus",0,0.333999668216279
"210","Pteropus lylei",1,0.358043612086668
"211","Pteropus neohibernicus",0,0.0399503827851455
"212","Pteropus poliocephalus",0,0.167415222291099
"213","Pteropus rufus",1,0.143990665622803
"214","Pteropus scapulatus",0,0.284407815307466
"215","Pteropus vampyrus",0,0.310848104616081
"216","Rhinolophus acuminatus",1,0.168792166149586
"217","Rhinolophus affinis",1,0.489434944319342
"218","Rhinolophus blasii",1,0.538171331597194
"219","Rhinolophus capensis",0,0.0545562567779925
"220","Rhinolophus clivosus",1,0.387351117888578
"221","Rhinolophus coelophyllus",0,0.257675833863183
"222","Rhinolophus cornutus",1,0.246415400196253
"223","Rhinolophus creaghi",1,0.0176925186185886
"224","Rhinolophus eloquens",0,0.0643938451017851
"225","Rhinolophus euryale",1,0.502573029736276
"226","Rhinolophus ferrumequinum",1,0.644433552441924
"227","Rhinolophus hildebrandtii",0,0.115169165200708
"228","Rhinolophus hipposideros",1,0.497585532439728
"229","Rhinolophus macrotis",1,0.366846982879179
"230","Rhinolophus malayanus",1,0.269671570519405
"231","Rhinolophus megaphyllus",0,0.0369357075445595
"232","Rhinolophus mehelyi",1,0.497823979282693
"233","Rhinolophus monoceros",1,0.0426465132157047
"234","Rhinolophus pearsonii",1,0.458681899201626
"235","Rhinolophus pusillus",1,0.228475689250884
"236","Rhinolophus rex",1,0.236450761877683
"237","Rhinolophus rouxii",0,0.2499976417511
"238","Rhinolophus rufus",1,0.0613496678303041
"239","Rhinolophus shameli",1,0.270969957040565
"240","Rhinolophus simulator",0,0.177862888332797
"241","Rhinolophus sinicus",1,0.296813420475412
"242","Rhinolophus stheno",1,0.301507368963451
"243","Rhinolophus thomasi",1,0.290568538714796
"244","Rhinonicteris aurantia",1,0.104871059857606
"245","Rhinopoma hardwickii",1,0.551778979991509
"246","Rhynchonycteris naso",0,0.050723969358648
"247","Rousettus aegyptiacus",1,0.801428668496149
"248","Rousettus amplexicaudatus",1,0.512994551954765
"249","Rousettus leschenaultii",1,0.790973736933182
"250","Rousettus madagascariensis",1,0.213803623063474
"251","Saccolaimus flaviventris",0,0.110711864397264
"252","Saccolaimus saccolaimus",0,0.42444039383324
"253","Scotophilus dinganii",1,0.358484597671227
"254","Scotophilus heathii",1,0.445544024442488
"255","Scotophilus kuhlii",1,0.0799349891908434
"256","Scotophilus leucogaster",1,0.396690349757789
"257","Scotophilus nigrita",0,0.402518672711362
"258","Scotophilus nux",0,0.127661056464712
"259","Sturnira erythromos",0,0.076060561153158
"260","Sturnira lilium",0,0.269754423102853
"261","Sturnira ludovici",0,0.168101524680893
"262","Sturnira tildae",0,0.124454445728591
"263","Syconycteris australis",0,0.112370458106734
"264","Tadarida brasiliensis",0,0.111461184883661
"265","Tadarida teniotis",1,0.614430039639505
"266","Taphozous melanopogon",0,0.517251010863116
"267","Taphozous perforatus",1,0.543033296921813
"268","Taphozous theobaldi",0,0.361528559448201
"269","Triaenops persicus",1,0.456396952542319
"270","Tylonycteris pachypus",1,0.320216242119082
"271","Tylonycteris robustula",0,0.291285674704052
"272","Uroderma bilobatum",0,0.222579421733655
"273","Vampyrodes caraccioli",0,0.119662132282883
"274","Vespadelus baverstocki",0,0.0251233293813249
"275","Vespadelus pumilus",0,0.0195880236994399
"276","Vespadelus regulus",0,0.0597811830059803
"277","Vespertilio murinus",1,0.586114537175038
"278","Vespertilio sinensis",1,0.394244552357948
"279","Haplonycteris fischeri",0,0.29346702983501
"280","Miniopterus tristis",0,0.123323454465002
"281","Myotis chinensis",0,0.393203554228797
"282","Myotis fimbriatus",0,0.117948770438073
"283","Nycteris hispida",0,0.324041994047524
"284","Pipistrellus javanicus",0,0.349280713876641
"285","Rhinolophus arcuatus",0,0.128577014909541
"286","Acerodon humilis",0,0.0214780193893282
"287","Acerodon jubatus",0,0.210776150970566
"288","Acerodon leucotis",0,0.0529736723714974
"289","Acerodon mackloti",0,0.0924000897573684
"290","Aethalops aequalis",0,0.0362443132668517
"291","Aethalops alecto",0,0.145733871875899
"292","Alionycteris paucidentata",0,0.0735706916327467
"293","Ametrida centurio",0,0.0404343853536189
"294","Amorphochilus schnablii",0,0.00344393550027089
"295","Anoura cultrata",0,0.0222087886555941
"296","Anoura latidens",0,0.0210171801458097
"297","Anoura luismanueli",0,0.00496605408551567
"298","Anthops ornatus",0,0.00167369152127775
"299","Aproteles bulmerae",0,0.037370378941722
"300","Ardops nichollsi",0,0.0129757587768209
"301","Arielulus aureocollaris",0,0.0377029709906816
"302","Arielulus circumdatus",0,0.249672499781324
"303","Arielulus cuprosus",0,0.00334656583524321
"304","Arielulus societatis",0,0.00730052867013287
