Sp,Training data,New data,Ensemble,Trait.1,Trait.2,Trait.3,Hybrid,Network.1,Network.2,Network.3,Network.4,Source
Cynopterus sphinx,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Rousettus aegyptiacus,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Eonycteris spelaea,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Eidolon helvum,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Rousettus leschenaultii,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Cynopterus brachyotis,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Rhinolophus ferrumequinum,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Epomophorus gambianus,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Pipistrellus pipistrellus,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Pteropus giganteus,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Hipposideros pomona,Reported,New data,True +,True +,True +,True +,True +,True +,True +,True +,True +,https://www.biorxiv.org/content/10.1101/2020.05.31.116061v1
Micropteropus pusillus,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Hipposideros armiger,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Miniopterus schreibersii,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Eptesicus serotinus,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Myotis daubentonii,Reported,Reported,True +,True +,True +,True +,False -,True +,True +,True +,True +,
Pipistrellus abramus,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Rhinolophus pusillus,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Chaerephon pumilus,Reported,New data,True +,True +,True +,True +,True +,True +,True +,True +,True +,"USAID PREDICT data - PREDICT_PCR_Tests.csv - June 28, 2021"
Rhinolophus affinis,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Scotophilus kuhlii,Reported,New data,True +,False -,False -,True +,True +,True +,True +,True +,True +,https://www.biorxiv.org/content/10.1101/2020.05.31.116061v1
Pteropus lylei,Reported,New data,True +,True +,True +,True +,True +,True +,True +,True +,True +,https://virologyj.biomedcentral.com/articles/10.1186/s12985-018-0950-6
Pteropus alecto,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Plecotus auritus,Reported,New data,True +,True +,True +,True +,True +,True +,True +,True +,True +,https://link.springer.com/content/pdf/10.1007/s11262-018-1614-8.pdf
Artibeus jamaicensis,Reported,New data,True +,True +,True +,True +,True +,True +,True +,True +,True +,https://onlinelibrary.wiley.com/doi/epdf/10.1111/tbed.13751
Hipposideros larvatus,Reported,New data,True +,True +,True +,True +,True +,True +,True +,True +,True +,https://virologyj.biomedcentral.com/articles/10.1186/s12985-015-0289-1
Rousettus amplexicaudatus,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Rhinolophus sinicus,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,False -,True +,
Taphozous perforatus,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Artibeus lituratus,Reported,Reported,True +,True +,False -,False -,True +,True +,True +,True +,True +,
Murina leucogaster,Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Hipposideros caffer,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Nycteris gambiensis,Reported,New data,True +,True +,True +,True +,True +,True +,True +,True +,True +,https://journals.plos.org/plospathogens/article/authors?id=10.1371/journal.ppat.1008758
Rhinolophus stheno,Reported,New data,True +,True +,True +,True +,True +,True +,True +,True +,True +,https://www.biorxiv.org/content/10.1101/2021.03.08.434390v1?rss=1
Rhinolophus thomasi,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,True +,True +,
Rhinolophus shameli,Reported,New data,True +,True +,True +,True +,True +,True +,True +,True +,True +,https://www.biorxiv.org/content/10.1101/2021.01.26.428212v1
Myotis ricketti,Reported,Reported,True +,True +,True +,NA,True +,True +,True +,True +,True +,
Myonycteris torquata,Reported,New data,True +,True +,True +,True +,True +,NA,True +,False -,True +,"USAID PREDICT data - PREDICT_PCR_Tests.csv - June 28, 2021"
Rhinolophus malayanus,Reported,New data,True +,True +,True +,True +,True +,NA,True +,True +,True +,https://www.biorxiv.org/content/10.1101/2021.03.08.434390v1?rss=1
Cynopterus horsfieldii,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,True +,True +,
Rhinolophus clivosus,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Megaerops niphanae,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,True +,True +,
Myonycteris angolensis,Reported,New data,True +,True +,True +,True +,True +,NA,True +,True +,True +,https://www.mdpi.com/1999-4915/12/8/855
Pipistrellus nathusii,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Macroglossus minimus,Reported,New data,True +,True +,True +,True +,True +,True +,True +,True +,True +,http://philjournalsci.dost.gov.ph/96-next-issue/vol-149-no-1-march-2020/1160-first-molecular-evidence-for-bat-betacoronavirus-in-mindanao
Rhinolophus mehelyi,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,True +,True +,
Rhinolophus hipposideros,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,True +,True +,
Rhinolophus acuminatus,Reported,New data,True +,True +,True +,True +,True +,NA,True +,True +,True +,https://www.nature.com/articles/s41467-021-21240-1
Megaerops ecaudatus,Reported,New data,True +,True +,True +,True +,True +,NA,True +,True +,True +,"USAID PREDICT data - PREDICT_PCR_Tests.csv - June 28, 2021"
