Sp,Training data,New data,Ensemble,Trait.1,Trait.2,Trait.3,Hybrid,Network.1,Network.2,Network.3,Network.4,Source
Pteropus conspicillatus,Reported,New data,True +,True +,True +,True +,True +,True +,True +,True +,True +,"USAID PREDICT data - PREDICT_PCR_Tests.csv - June 28, 2021"
Nycteris thebaica,Reported,New data,True +,True +,True +,True +,True +,True +,True +,True +,True +,https://www.nature.com/articles/s41598-020-63799-7
Pipistrellus kuhlii,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Desmodus rotundus,Reported,New data,True +,True +,False -,False -,True +,True +,True +,True +,True +,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000600003
Dyacopterus spadiceus,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,True +,True +,
Rhinolophus pearsonii,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,False -,True +,
Pipistrellus coromandra,Reported,New data,True +,True +,True +,True +,True +,True +,True +,True +,True +,https://www.sciencedirect.com/science/article/abs/pii/S1567134816305135
Nanonycteris veldkampii,Reported,New data,True +,True +,True +,True +,True +,NA,True +,True +,True +,https://www.mdpi.com/1999-4915/12/8/855
Epomophorus labiatus,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Vespertilio murinus,Reported,New data,True +,True +,True +,True +,True +,True +,True +,True +,True +,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0252534
Scotophilus dinganii,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Carollia perspicillata,Reported,Reported,True +,False -,False -,False -,False -,True +,True +,True +,True +,
Nyctalus noctula,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Epomops buettikoferi,Reported,New data,True +,True +,True +,True +,True +,NA,True +,True +,True +,"USAID PREDICT data - PREDICT_PCR_Tests.csv - June 28, 2021"
Neoromicia capensis,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Rhinolophus euryale,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Rhinolophus blasii,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,False -,True +,
Hipposideros pratti,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Epomops franqueti,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,False -,True +,
Aselliscus stoliczkanus,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,True +,True +,
Taphozous melanopogon,Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Rhinolophus macrotis,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,False -,True +,
Megaloglossus woermanni,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Tadarida teniotis,Reported,New data,True +,True +,True +,True +,True +,True +,True +,True +,True +,https://link.springer.com/content/pdf/10.1007/s11262-018-1614-8.pdf
Scotophilus leucogaster,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Scotophilus heathii,Reported,New data,True +,True +,True +,True +,True +,NA,True +,True +,True +,https://virologyj.biomedcentral.com/articles/10.1186/s12985-015-0289-1
Pipistrellus tenuis,Reported,New data,True +,True +,True +,True +,True +,NA,True +,True +,True +,https://journals.asm.org/doi/10.1128/JVI.00116-18?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed
Myotis dasycneme,Reported,Reported,True +,True +,True +,True +,False -,True +,True +,True +,True +,
Barbastella barbastellus,Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Hypsugo savii,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Hipposideros ruber,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Pipistrellus hesperidus,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,True +,True +,
Myotis blythii,Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Pteronotus parnellii,Reported,Reported,True +,True +,False -,False -,True +,True +,True +,True +,True +,
Rhinopoma hardwickii,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Rhinolophus rex,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Ptenochirus jagori,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,True +,True +,
Pteropus scapulatus,Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Myotis myotis,Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Mops condylurus,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Vespertilio sinensis,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Chaerephon plicatus,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Pipistrellus pygmaeus,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,True +,True +,
Miniopterus magnater,Reported,New data,True +,True +,True +,True +,False -,True +,True +,True +,True +,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/vir.0.82203-0#tab2
Hipposideros bicolor,Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Myotis nattereri,Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Tylonycteris pachypus,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,True +,True +,
Hipposideros galeritus,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,True +,False -,
Myotis emarginatus,Reported,Reported,True +,True +,True +,True +,False -,True +,True +,True +,True +,
Myotis horsfieldii,Reported,New data,True +,True +,True +,True +,False -,True +,True +,True +,True +,https://www.biorxiv.org/content/10.1101/2020.05.31.116061v1
Pteropus vampyrus,Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Suspected,
Hipposideros gigas,Reported,New data,True +,True +,True +,True +,True +,True +,True +,True +,True +,https://www.nature.com/articles/s41598-020-64159-1.pdf
Triaenops persicus,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +,
Hipposideros lekaguli,Reported,New data,True +,True +,True +,True +,True +,True +,True +,True +,True +,https://www.sciencedirect.com/science/article/abs/pii/S1567134816305135
Sturnira lilium,Unreported,Unreported,Suspected,Suspected,Unlikely,Unlikely,Unlikely,Suspected,Suspected,Suspected,Suspected,
Neoromicia somalicus,Reported,New data,True +,True +,True +,NA,True +,NA,True +,True +,True +,"USAID PREDICT data - PREDICT_PCR_Tests.csv - June 28, 2021"
Pteronotus davyi,Reported,Reported,True +,False -,False -,False -,True +,True +,True +,True +,True +,
Rousettus madagascariensis,Reported,New data,True +,True +,True +,True +,True +,NA,True +,True +,True +,https://www.nature.com/articles/s41598-020-63799-7
Pipistrellus deserti,Reported,New data,True +,True +,True +,True +,True +,NA,True +,True +,True +,https://wwwnc.cdc.gov/eid/article/22/1/15-1397_article
Pteropus hypomelanus,Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Suspected,
Hypsugo pulveratus,Reported,New data,True +,True +,True +,NA,True +,NA,True +,True +,True +,"GenBank: MN312842, MN312848, MN312849, MN312852, MN312853, MN312854"
Artibeus phaeotis,Reported,Reported,True +,False -,False -,False -,False -,True +,True +,True +,True +,
Ia io,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,True +,False -,
Molossus rufus,Unreported,Unreported,Suspected,Suspected,Unlikely,Unlikely,Unlikely,Suspected,Suspected,Suspected,Suspected,
Myotis punicus,Reported,New data,True +,True +,True +,True +,False -,True +,True +,True +,True +,GenBank: MN823619
Eptesicus nilssonii,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,True +,False -,
Rhinolophus creaghi,Reported,Reported,True +,True +,True +,True +,True +,NA,True +,True +,True +,
Glauconycteris variegata,Reported,New data,True +,True +,True +,True +,False -,NA,True +,True +,True +,"USAID PREDICT data - PREDICT_PCR_Tests.csv - June 28, 2021"
Myotis nigricans,Unreported,Unreported,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Nycteris macrotis,Reported,New data,True +,True +,True +,True +,True +,NA,True +,True +,False -,https://www.mdpi.com/1999-4915/12/8/855
Megaerops kusnotoi,Reported,New data,True +,False -,True +,True +,True +,NA,True +,True +,True +,
Eptesicus fuscus,Unreported,Unreported,Suspected,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Acerodon celebensis,Reported,New data,True +,True +,True +,True +,True +,NA,True +,True +,True +,"USAID PREDICT data - PREDICT_PCR_Tests.csv - June 28, 2021"
Eidolon dupreanum,Reported,Reported,True +,True +,True +,True +,True +,True +,True +,False -,True +,
Hypsignathus monstrosus,Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Suspected,
Glossophaga soricina,Unreported,Unreported,Suspected,Suspected,Unlikely,Unlikely,Unlikely,Suspected,Suspected,Suspected,Suspected,
Rhinolophus eloquens,Unreported,Unreported,Suspected,Suspected,Unlikely,Suspected,Suspected,NA,Unlikely,Unlikely,Suspected,
Hipposideros commersoni,Reported,Reported,True +,True +,True +,False -,True +,NA,True +,True +,False -,
Rhinolophus cornutus,Reported,Reported,True +,True +,True +,NA,True +,NA,True +,True +,False -,
Myotis mystacinus,Unreported,Unreported,Suspected,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Hipposideros cervinus,Reported,New data,True +,True +,True +,True +,True +,NA,True +,True +,False -,"USAID PREDICT data - PREDICT_PCR_Tests.csv - June 28, 2021"
Myotis lucifugus,Unreported,Unreported,Suspected,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Rhinolophus rufus,Reported,New data,True +,True +,True +,True +,True +,NA,True +,True +,True +,https://link.springer.com/article/10.1007/s00705-012-1410-z
Molossus molossus,Unreported,Unreported,Suspected,Suspected,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Myotis pequinius,Reported,New data,True +,True +,True +,True +,True +,NA,True +,True +,False -,https://www.biorxiv.org/content/10.1101/2020.05.31.116061v1
Emballonura alecto,Reported,New data,True +,True +,True +,True +,True +,NA,True +,True +,False -,https://link.springer.com/article/10.1007/s00705-012-1410-z
Rhinolophus coelophyllus,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Unlikely,Suspected,
Phyllostomus hastatus,Unreported,Unreported,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,Suspected,Suspected,Suspected,Suspected,
Tadarida brasiliensis,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Uroderma bilobatum,Unreported,Unreported,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Hipposideros fuliginosus,Reported,New data,False -,True +,True +,True +,True +,NA,True +,True +,False -,"USAID PREDICT data - PREDICT_PCR_Tests.csv - June 28, 2021"
Pteropus rufus,Reported,Reported,False -,True +,True +,True +,True +,True +,True +,False -,True +,
Myotis septentrionalis,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Epomophorus wahlbergi,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Carollia brevicauda,Unreported,Unreported,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Rhinolophus monoceros,Reported,Reported,False -,False -,True +,NA,True +,NA,True +,True +,True +,
Epomops dobsonii,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Suspected,
Rhinolophus rouxii,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Unlikely,Suspected,
Neoromicia zuluensis,Reported,New data,False -,False -,True +,True +,True +,NA,True +,True +,True +,https://wwwnc.cdc.gov/eid/article/19/10/13-0946_article
Rhinolophus hildebrandtii,Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Suspected,NA,Unlikely,Unlikely,Suspected,
Rhinolophus simulator,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Unlikely,Suspected,
Pipistrellus subflavus,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Nyctinomops laticaudatus,Reported,Reported,False -,True +,False -,False -,False -,True +,True +,True +,True +,
Myotis velifer,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Pteropus poliocephalus,Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Suspected,
Hipposideros diadema,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Unlikely,Suspected,
Eumops glaucinus,Reported,Reported,False -,False -,False -,False -,False -,True +,True +,True +,True +,
Mormoops megalophylla,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Myotis riparius,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Dobsonia moluccensis,Reported,Reported,False -,False -,True +,True +,True +,True +,True +,False -,True +,
Scotophilus nigrita,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Suspected,
Carollia sowelli,Reported,New data,False -,False -,False -,NA,NA,NA,True +,True +,NA,https://onlinelibrary.wiley.com/doi/epdf/10.1111/tbed.13751
Hipposideros abae,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Unlikely,Suspected,
Hipposideros cineraceus,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Unlikely,Unlikely,
Nyctalus lasiopterus,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Suspected,
Nyctalus plancyi,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Suspected,
Myotis brandtii,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Suspected,
Pteronotus personatus,Reported,New data,False -,True +,False -,False -,True +,NA,True +,True +,False -,https://journals.plos.org/plospathogens/article/authors?id=10.1371/journal.ppat.1008758
Tylonycteris robustula,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,
Saccolaimus saccolaimus,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,
Myotis capaccinii,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Suspected,
Myotis volans,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Philetor brachypterus,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,
Artibeus cinereus,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Myotis keenii,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Anoura geoffroyi,Unreported,Unreported,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Scotophilus nux,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Suspected,
Rhinonicteris aurantia,Reported,Reported,False -,False -,True +,False -,True +,NA,True +,True +,False -,
Cynomops abrasus,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Murina aurata,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,
Hipposideros vittatus,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Unlikely,Unlikely,
Pipistrellus inexspectatus,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Suspected,
Miniopterus inflatus,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Suspected,
Syconycteris australis,Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Suspected,NA,Unlikely,Unlikely,Suspected,
Hipposideros speoris,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Unlikely,Unlikely,
Miniopterus pusillus,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,
Lasiurus cinereus,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Cynomops planirostris,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Myotis longipes,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Suspected,
Neoromicia nanus,Unreported,Unreported,Unlikely,Suspected,Suspected,NA,Unlikely,Suspected,Unlikely,Unlikely,Suspected,
Myotis macrodactylus,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,
Artibeus obscurus,Reported,Reported,False -,False -,False -,False -,False -,NA,True +,True +,True +,
Rhinolophus capensis,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Suspected,Suspected,Unlikely,Unlikely,Suspected,
Phyllostomus discolor,Unreported,Unreported,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Glauconycteris argentata,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,Unlikely,Unlikely,Unlikely,
Nycteris nana,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,Unlikely,Unlikely,Unlikely,
Hipposideros lankadiva,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,
Taphozous theobaldi,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,
Eptesicus furinalis,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Rhinolophus megaphyllus,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Suspected,Suspected,Unlikely,Unlikely,Suspected,
Cardioderma cor,Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,
Natalus tumidirostris,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Platyrrhinus helleri,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Nyctinomops macrotis,Unreported,Unreported,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Pteropus neohibernicus,Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,
Artibeus fimbriatus,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Lasiurus ega,Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,
Eptesicus brasiliensis,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Antrozous pallidus,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Diaemus youngi,Unreported,Unreported,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Eumops auripendulus,Unreported,Unreported,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Corynorhinus townsendii,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Lasiurus xanthinus,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Lasionycteris noctivagans,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Chalinolobus gouldii,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Suspected,
Lasiurus intermedius,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected,
Myotis albescens,Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,
Diphylla ecaudata,Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,
