"","factor","taxa","tips","node","clade","other"
"1",1,"Mystacinidae, Noctilionidae, Mormoopidae, Phyllostomidae",161,1255,0.742134499640789,0.474624169694425
"2",2,"Mosia, Emballonura, Coleura, Rhynchonycteris, Cyttarops, Diclidurus, Centronycteris, Cormura, Saccopteryx, Balantiopteryx, Peropteryx",31,1157,0.795459070452984,0.50703442526962
"3",3,"Molossidae",98,1365,0.609571734490708,0.50587474746545
"4",4,"Thyropteridae, Furipteridae, Natalidae",12,1247,0.876071367869987,0.511369411522723
"5",5,"Rousettus, Megaloglossus, Eidolon, Myonycteris, Plerotes, Casinycteris, Scotonycteris, Nanonycteris, Hypsignathus, Epomops, Micropteropus, Epomophorus",34,1081,0.253888266921524,0.524255360877588
"6",6,"Sphaerias, Alionycteris, Otopteropus, Haplonycteris, Latidens, Penthetor, Thoopterus, Aethalops, Balionycteris, Chironax, Dyacopterus, Ptenochirus, Megaerops, Cynopterus",26,1063,0.238730380933649,0.522533032040233
"7",7,"Rhinolophidae",73,1197,0.336755461928976,0.528842107233448
"8",8,"Chaerephon, Mops",32,1412,0.469079509691664,0.516981262976945
