"Sp","Betacov.2021","R.Alb.2021","R.Car3.2021","R.Dal1.2021","R.Far1.2021","R.Gut1.2021","R.Po2.2021","R.Po3.2021","R.Stock1.2021","P.Alb.2021","P.Car3.2021","P.Dal1.2021","P.Far1.2021","P.Gut1.2021","P.Po2.2021","P.Po3.2021","P.Stock1.2021","Rank.2021","PropRank.2021","InSample.2021","Betacov.2020","R.Alb.2020","R.Car3.2020","R.Dal1.2020","R.Far1.2020","R.Gut1.2020","R.Po2.2020","R.Po3.2020","R.Stock1.2020","P.Alb.2020","P.Car3.2020","P.Dal1.2020","P.Far1.2020","P.Gut1.2020","P.Po2.2020","P.Po3.2020","P.Stock1.2020","Rank.2020","PropRank.2020","InSample.2020"
"Hipposideros armiger",1,0.0632065775950668,0.132616487455197,0.221611721611722,0.125,0.0340501792114695,0.151202749140893,0.09375,0.107210626185958,0.235575221238938,0.385827385860796,0.845639906832281,0.443986031882894,0.945731349754436,0.6,0.332149053953565,0.514582093876951,62.0625,0.116081042650038,1,1,0.119218910585817,0.0537634408602151,0.248031496062992,0.125984251968504,0.00627240143369176,0.151202749140893,0.0880829015544041,0.119544592030361,0.224736842105263,0.303319905553081,0.719083436173111,0.351150276830333,0.962958765632423,0.6,0.302414121311759,0.429459735230506,55.375,0.11401259295461,1
"Hipposideros pomona",1,0.0837615621788284,0.139784946236559,0.221611721611722,0.117647058823529,0.0922939068100358,0.151202749140893,0.09375,0.0351043643263757,0.229646017699115,0.382354877481299,0.845639906832281,0.444752140762571,0.910664805975083,0.6,0.332149053953565,0.608777426041049,63.9375,0.116894538640993,1,0,0.136690647482014,0.0788530465949821,0.484251968503937,0.192913385826772,0.0528673835125448,0.151202749140893,0.505181347150259,0.203984819734345,0.221578947368421,0.271239004853318,0.639598019729521,0.294328925976759,0.918491030069673,0.6,0.20351302241066,0.316770836577425,98.3125,0.225743168493218,1
"Miniopterus schreibersii",1,0.414182939362795,0.0340501792114695,0.0695970695970696,0.0441176470588235,0.0600358422939068,0.151202749140893,0.0504807692307692,0.183111954459203,0.180619469026549,0.497661146565476,1.241416056454,0.508862584117949,0.928476750954797,0.6,0.354127075931587,0.439705811298228,95.5625,0.125847393794366,1,1,0.289311408016444,0.014336917562724,0.0826771653543307,0.047244094488189,0.0555555555555556,0.151202749140893,0.0466321243523316,0.11100569259962,0.190657894736842,0.35790848772481,0.909578640940235,0.414919646666481,0.917278185552151,0.6,0.324392143289781,0.435827837765467,67.5625,0.0997457133837611,1
"Myotis daubentonii",1,0.0853031860226105,0.0448028673835125,0.175824175824176,0.0882352941176471,0.125448028673835,0.151202749140893,0.09375,0.303605313092979,0.22929203539823,0.478381178615668,0.920805518119371,0.455849609525275,0.887584869113208,0.6,0.332149053953565,0.353548526009614,88.3125,0.133521451781957,1,1,0.0719424460431655,0.0439068100358423,0.208661417322835,0.114173228346457,0.0878136200716846,0.151202749140893,0.0880829015544041,0.219165085388994,0.233552631578947,0.312135157383231,0.757682850809307,0.363515169363533,0.881567252470267,0.6,0.302414121311759,0.301984591925718,71.125,0.123118532238034,1
"Eptesicus serotinus",1,0.025693730729702,0.0421146953405018,0.0769230769230769,0.150735294117647,0.0206093189964158,0.36426116838488,0.151442307692308,0.251423149905123,0.250530973451327,0.484944918718031,1.21662373460411,0.391534052505355,0.954520259860292,0.4,0.310171031975543,0.392022626496349,63.3125,0.135400342761207,1,1,0.0123329907502569,0.0259856630824373,0.125984251968504,0.149606299212598,0.0152329749103943,0.36426116838488,0.137305699481865,0.158444022770398,0.260789473684211,0.342093590043502,0.86845917099765,0.309216245618575,0.954818503987575,0.4,0.280436099333737,0.373160175362548,46.8125,0.123644133820167,1
"Pipistrellus abramus",1,0.0734840698869476,0.0949820788530466,0.102564102564103,0.165441176470588,0.147849462365591,0.36426116838488,0.151442307692308,0.124288425047438,0.23212389380531,0.428101952627354,1.07537300552453,0.385331381614767,0.870059172376735,0.4,0.310171031975543,0.493738309701259,78.875,0.153039098908113,1,1,0.0544707091469681,0.0815412186379928,0.181102362204724,0.169291338582677,0.146953405017921,0.36426116838488,0.137305699481865,0.118595825426945,0.237894736842105,0.267411794406079,0.810023229611239,0.301537876297415,0.825094148983517,0.4,0.280436099333737,0.430382723407107,75.1875,0.156690215860497,1
"Scotophilus kuhlii",1,0.00411099691675231,0.595878136200717,0.0476190476190476,0.0257352941176471,0.388888888888889,0.0412371134020619,0.0288461538461538,0.146110056925996,0.271150442477876,0.0726836256985628,1.32138198656795,0.570509946314747,0.533929029823058,0.8,0.376105097909609,0.472871372351781,161.125,0.159803210989658,1,0,0.00513874614594039,0.803763440860215,0.0748031496062992,0.0354330708661417,0.275089605734767,0.0412371134020619,0.313471502590674,0.236242884250474,0.270131578947368,0.0216078861368041,0.911700349321196,0.425955209972986,0.639787905891389,0.8,0.247469066366704,0.289238586724655,194.0625,0.223147439182072,1
"Rhinolophus pusillus",1,0.0308324768756423,0.154121863799283,0.168498168498169,0.158088235294118,0.281362007168459,0.36426116838488,0.151442307692308,0.0104364326375712,0.24858407079646,0.368677788934889,0.974595669052878,0.388585833439112,0.674583054813688,0.4,0.310171031975543,0.702545570412952,87.5625,0.164880332543804,1,1,0.0184994861253854,0.0797491039426523,0.196850393700787,0.15748031496063,0.238351254480287,0.36426116838488,0.137305699481865,0.0180265654648956,0.253552631578947,0.268852482432646,0.779886198539024,0.307450214369665,0.684300258706853,0.4,0.280436099333737,0.610877236191092,70.1875,0.151315498317673,1
"Pteropus lylei",1,0.153134635149024,0.0188172043010753,0.254578754578755,0.172794117647059,0.0197132616487455,0.36426116838488,0.151442307692308,0.221062618595825,0.218053097345133,0.537533894628366,0.73781110879181,0.38394630255213,0.955730407058835,0.4,0.310171031975543,0.41535888021823,78.25,0.169475508499709,1,0,0.18705035971223,0.1084229390681,0.559055118110236,0.307086614173228,0.120967741935484,0.36426116838488,0.606217616580311,0.469639468690702,0.210394736842105,0.253429247187741,0.545145676493606,0.234164289705813,0.853316175192488,0.4,0.181535000432638,0.188547258788799,165.375,0.340337628331896,1
"Rhinolophus affinis",1,0.0092497430626927,0.136200716845878,0.549450549450549,0.136029411764706,0.03584229390681,0.36426116838488,0.151442307692308,0.0123339658444023,0.267699115044248,0.384209860963507,0.568979388197232,0.427975617442263,0.943950915812199,0.4,0.310171031975543,0.677776926050897,60.6875,0.174351269619028,1,1,0.00822199383350463,0.0600358422939068,0.568897637795276,0.122047244094488,0.0188172043010753,0.36426116838488,0.137305699481865,0.0227703984819734,0.263026315789474,0.295991960601241,0.538508442944989,0.354685027850619,0.950385312240529,0.4,0.280436099333737,0.578256191898906,46.875,0.162794648583371,1
"Plecotus auritus",1,0.179856115107914,0.114695340501792,0.0238095238095238,0.169117647058824,0.118279569892473,0.36426116838488,0.151442307692308,0.282732447817837,0.21283185840708,0.399726306264711,1.43451295807262,0.38471101374295,0.892495020998934,0.4,0.310171031975543,0.366685826464977,108.75,0.175524265033194,1,0,0.112024665981501,0.14426523297491,0.100393700787402,0.338582677165354,0.0573476702508961,0.36426116838488,0.606217616580311,0.567362428842505,0.225921052631579,0.234760922365868,0.893975496378212,0.232618709736995,0.914397651836479,0.4,0.181535000432638,0.158239256429862,151.6875,0.28630689512097,1
"Pteropus alecto",1,0.393627954779034,0.291218637992832,0.0952380952380952,0.0551470588235294,0.304659498207885,0.151202749140893,0.0504807692307692,0.173624288425047,0.181946902654867,0.254747207798588,1.15235274999774,0.504016599289763,0.636120592061738,0.6,0.354127075931587,0.446010425443898,163.0625,0.189399881479761,1,1,0.515930113052415,0.306451612903226,0.122047244094488,0.0590551181102362,0.423835125448029,0.151202749140893,0.0466321243523316,0.167931688804554,0.173026315789474,0.145118527375976,0.872133056755018,0.409686990928243,0.51957932369113,0.6,0.324392143289781,0.354842022407318,196.375,0.224135721988272,1
