"Sp","Betacov.2021","R.Alb.2021","R.Car3.2021","R.Gut1.2021","R.Stock1.2021","P.Alb.2021","P.Car3.2021","P.Gut1.2021","P.Stock1.2021","Rank.2021","PropRank.2021","InSample.2021","Betacov.2020","R.Alb.2020","R.Car3.2020","R.Gut1.2020","R.Stock1.2020","P.Alb.2020","P.Car3.2020","P.Gut1.2020","P.Stock1.2020","Rank.2020","PropRank.2020","InSample.2020"
"Rhinolophus fumigatus",0,0.079136690647482,0.0492831541218638,0.0116487455197133,0.0464895635673624,0.23070796460177,0.473884728873858,0.958657946727293,0.593642398828843,48.5,0.0466395384641054,0,0,0.0611510791366906,0.0483870967741935,0.0304659498207885,0.0483870967741935,0.236973684210526,0.308385371564914,0.939068696797381,0.519159772215259,49.625,0.0470978056264666,0
"Macroglossus sobrinus",0,0.0226104830421377,0.0134408602150538,0.00268817204301075,0.182163187855787,0.253008849557522,0.564946165597153,0.97519669542105,0.440239370299445,58,0.0552256757889974,0,0,0.0426515930113052,0.0564516129032258,0.021505376344086,0.235294117647059,0.2425,0.302236308526649,0.949281433405464,0.290606636649179,94.125,0.088975674976419,0
"Rhinolophus marshalli",0,0.0452209660842754,0.0887096774193548,0.0707885304659498,0.0294117647058824,0.240973451327434,0.43662308175088,0.924318565031514,0.621023497985016,63.25,0.0585327346688656,0,0,0.052415210688592,0.155017921146953,0.104838709677419,0.0607210626185958,0.238815789473684,0.229186032298639,0.863330485617736,0.489350203768657,101.25,0.0932482260328901,0
"Rhinolophus luctus",0,0.00513874614594039,0.172043010752688,0.0439068100358423,0.0341555977229602,0.269203539823009,0.359153256650202,0.939851354277487,0.611327775090376,70.5,0.0638110411643577,0,0,0.00411099691675231,0.0672043010752688,0.00985663082437276,0.0445920303605313,0.272368421052632,0.279714398565461,0.958741133118542,0.530446983722847,34.25,0.0314409897942313,0
"Rhinolophus osgoodi",0,NA,0.102150537634409,0.0779569892473118,0.0113851992409867,NA,0.40806727038247,0.921060220490943,0.682605158594845,71,0.0638309087075691,0,0,NA,0.131720430107527,0.0931899641577061,0.0104364326375712,NA,0.244580596307756,0.878576589953654,0.649802601867804,87.3333333333333,0.0784489423009347,0
"Rhinolophus landeri",0,0.0981500513874615,0.0510752688172043,0.028673835125448,0.101518026565465,0.227256637168142,0.473251098184552,0.950779960217125,0.523394691833603,72.875,0.0698542954738947,0,0,0.0585817060637204,0.0618279569892473,0.0770609318996416,0.0929791271347249,0.237236842105263,0.29091002802252,0.890662331525091,0.453764707174317,77.5,0.0726124305218336,0
"Rhinolophus trifoliatus",0,0.0565262076053443,0.155913978494624,0.0573476702508961,0.0540796963946869,0.237699115044248,0.368083824401593,0.930008983095768,0.583613728846057,87.5,0.0809668881863877,0,0,0.0637204522096608,0.145161290322581,0.0403225806451613,0.0853889943074004,0.236184210526316,0.234544090104973,0.931200869316637,0.464673481654469,89.75,0.0836483293712008,0
"Rhinolophus yunanensis",0,0.132579650565262,0.0896057347670251,0.0905017921146953,0.0132827324478178,0.221769911504425,0.433507866242543,0.9109963799763,0.671903668614448,86,0.0814924774737001,0,0,0.130010277492292,0.112903225806452,0.03584229390681,0.0132827324478178,0.223026315789474,0.252409493125982,0.93428555928788,0.620415285405488,76.625,0.0730096324133428,0
"Rhinolophus paradoxolophus",0,0.0883864337101747,0.0985663082437276,0.134408602150538,0.0208728652751423,0.228495575221239,0.419461406951835,0.878630356980065,0.646440063200226,92,0.0855585523448956,0,0,0.0750256937307297,0.14247311827957,0.140681003584229,0.0208728652751423,0.232631578947368,0.236446536678298,0.831419743621958,0.597623263788837,102.75,0.0947631702174178,0
"Hipposideros lylei",0,0.130010277492292,0.0958781362007168,0.0170250896057348,0.149905123339658,0.22212389380531,0.427792564354627,0.9568506649915,0.469838339515479,102.625,0.0982046566596005,0,0,0.195786228160329,0.156810035842294,0.0824372759856631,0.169829222011385,0.207763157894737,0.228270818822123,0.887643010366626,0.351284436016593,159.125,0.151215690499918,0
