"Sp","Betacov.2021","R.Alb.2021","R.Dal1.2021","R.Far1.2021","R.Po2.2021","R.Po3.2021","Rank.2021","PropRank.2021","InSample.2021","Betacov.2020","R.Alb.2020","R.Dal1.2020","R.Far1.2020","R.Po2.2020","R.Po3.2020","Rank.2020","PropRank.2020","InSample.2020"
"Rousettus aegyptiacus",1,0.0133460438512869,0.0438957475994513,0.021978021978022,0.0293040293040293,0.0223813786929275,24.9,0.0261810442851434,1,1,0.0127502383222116,0.052112676056338,0.0211267605633803,0.0293040293040293,0.0230627306273063,25.2,0.0276712869746531,1
"Scotophilus kuhlii",1,0.00142993326978074,0.0178326474622771,0.0535714285714286,0.0293040293040293,0.0349149507609669,17.1,0.0274105978736965,1,0,0.00166825548141087,0.028169014084507,0.076056338028169,0.0293040293040293,0.283210332103321,48.5,0.0836815938002874,1
"Eidolon helvum",1,0.0169208770257388,0.065843621399177,0.0288461538461538,0.00366300366300366,0.0223813786929275,30.7,0.0275310069254001,1,1,0.0255004766444233,0.0535211267605634,0.0295774647887324,NA,0.0230627306273063,44.625,0.0329154497052563,1
"Cynopterus sphinx",1,0.00190657769304099,0.00274348422496571,0.0741758241758242,0.0293040293040293,0.0456580125335721,19.5,0.0307575855862865,1,1,0.00285986653956149,0.00985915492957747,0.0788732394366197,0.0293040293040293,0.0415129151291513,21.1,0.0324818410677879,1
"Rousettus leschenaultii",1,0.00238322211630124,0.100137174211248,0.0233516483516484,0.0293040293040293,0.0223813786929275,24.1,0.0355114905352309,1,1,0.00262154432793136,0.116901408450704,0.0225352112676056,0.0293040293040293,0.0230627306273063,26.1,0.0388849847955154,1
"Eonycteris spelaea",1,0.00571973307912297,0.0246913580246914,0.081043956043956,0.0293040293040293,0.0456580125335721,26.9,0.0372834177970744,1,1,0.0112011439466158,0.0295774647887324,0.0802816901408451,0.0293040293040293,0.0415129151291513,31.1,0.0383754486618748,1
"Artibeus jamaicensis",1,0.167063870352717,0.00617283950617284,0.0412087912087912,0.0293040293040293,0.0286481647269472,151.9,0.0544795390197315,1,0,0.155147759771211,0.0140845070422535,0.0535211267605634,0.0293040293040293,0.252767527675277,168.8,0.100964990110667,1
"Rhinolophus ferrumequinum",1,0.00619637750238322,0.0342935528120713,0.0590659340659341,0.115384615384615,0.0644583706356312,32.3,0.055879770080127,1,1,0.000238322211630124,0.0464788732394366,0.0619718309859155,0.115384615384615,0.0581180811808118,28.2,0.0564383446004819,1
"Artibeus lituratus",1,0.182793136320305,0.0274348422496571,0.0315934065934066,0.0293040293040293,0.0223813786929275,166.1,0.0587013586320651,1,1,0.189585319351764,0.0267605633802817,0.0309859154929577,0.0293040293040293,0.0230627306273063,171.4,0.0599397116312677,1
"Carollia perspicillata",1,0.196377502383222,0.00617283950617284,0.0480769230769231,0.0293040293040293,0.0286481647269472,177.5,0.0617158917994589,1,1,0.2017397521449,0.0112676056338028,0.047887323943662,0.0293040293040293,0.0285977859778598,182.4,0.0637592994008507,1
