"Sp","Betacov.2021","R.Alb.2021","R.Dal1.2021","R.Far1.2021","R.Po2.2021","R.Po3.2021","Rank.2021","PropRank.2021","InSample.2021","Betacov.2020","R.Alb.2020","R.Dal1.2020","R.Far1.2020","R.Po2.2020","R.Po3.2020","Rank.2020","PropRank.2020","InSample.2020"
"Pipistrellus pipistrellus",1,0.00476644423260248,0.00137174211248285,0.123626373626374,0.115384615384615,0.0644583706356312,35.7,0.0619215091983411,1,1,0.00238322211630124,0.00140845070422535,0.11830985915493,0.115384615384615,0.0581180811808118,31.6,0.0591208457081767,1
"Cynopterus brachyotis",1,0.00667302192564347,0.0411522633744856,0.116758241758242,0.115384615384615,0.0644583706356312,42.1,0.0688853026157235,1,1,0.00834127740705434,0.0549295774647887,0.128169014084507,0.115384615384615,0.0581180811808118,45.6,0.0729885131043555,1
"Miniopterus schreibersii",1,0.0731649189704481,0.0260631001371742,0.0961538461538462,0.115384615384615,0.0456580125335721,90.6,0.0712848986359312,1,1,0.0539799809342231,0.0309859154929577,0.0915492957746479,0.115384615384615,0.0415129151291513,73.5,0.0666825445431191,1
"Pteropus alecto",1,0.0838894184938036,0.0356652949245542,0.0796703296703297,0.115384615384615,0.0456580125335721,98.6,0.072053534201375,1,1,0.101763584366063,0.047887323943662,0.0845070422535211,0.115384615384615,0.0415129151291513,115,0.0782110962154025,1
"Epomophorus gambianus",1,0.0263346043851287,0.0699588477366255,0.100274725274725,0.115384615384615,0.0644583706356312,60.4,0.0752822326833452,1,1,0.0375357483317445,0.0802816901408451,0.0957746478873239,0.115384615384615,0.0581180811808118,69.1,0.0774189565850681,1
"Myotis daubentonii",1,0.0138226882745472,0.0699588477366255,0.129120879120879,0.115384615384615,0.0644583706356312,54.1,0.0785490802304597,1,1,0.0117969494756911,0.0802816901408451,0.129577464788732,0.115384615384615,0.0581180811808118,52.3,0.0790317601941392,1
"Pteropus giganteus",1,0.0221639656816015,0.0699588477366255,0.122252747252747,0.115384615384615,0.0644583706356312,60.1,0.0788437093382442,1,1,0.0222831267874166,0.0802816901408451,0.132394366197183,0.115384615384615,0.0581180811808118,61.5,0.0816923759381744,1
"Camelus dromedarius",1,NA,0.16323731138546,0.0260989010989011,0.115384615384615,0.0170098478066249,44.75,0.0804326689189002,1,1,NA,0.250704225352113,0.023943661971831,0.115384615384615,0.0175276752767528,59,0.101890044496328,1
"Desmodus rotundus",1,0.19161105815062,0.00411522633744856,0.0576923076923077,0.115384615384615,0.0349149507609669,180,0.0807436316651916,1,0,0.185533841754051,0.0169014084507042,0.0887323943661972,0.115384615384615,0.283210332103321,207.7,0.137952518411778,1
"Hipposideros pomona",1,0.0145376549094376,0.088477366255144,0.141483516483516,0.115384615384615,0.0644583706356312,59.2,0.0848683047336689,1,0,0.0195424213536702,0.246478873239437,0.225352112676056,0.115384615384615,0.437269372693727,137.1,0.208805479069501,1
"Hipposideros armiger",1,0.0102478551000953,0.088477366255144,0.151098901098901,0.115384615384615,0.0644583706356312,57,0.0859334216948774,1,1,0.0127502383222116,0.1,0.166197183098592,0.115384615384615,0.0581180811808118,61.1,0.0904900235972461,1
"Micropteropus pusillus",1,0.0154909437559581,0.109739368998628,0.0563186813186813,0.313186813186813,0.0456580125335721,59.4,0.108078763958731,1,1,0.0235938989513823,0.125352112676056,0.0577464788732394,0.313186813186813,0.0415129151291513,67.4,0.112278443763329,1
"Equus caballus",1,NA,0.396433470507545,0.00549450549450549,0.0293040293040293,0.0053715308863026,76,0.109150884048095,1,1,NA,0.380281690140845,0.00563380281690141,0.0293040293040293,0.00553505535055351,71.25,0.105188644403082,1
"Pteronotus parnellii",1,0.237249761677788,0.0109739368998628,0.135989010989011,0.115384615384615,0.0644583706356312,234,0.112811139117382,1,1,0.249404194470925,0.0211267605633803,0.142253521126761,0.115384615384615,0.0581180811808118,245.1,0.117257434545299,1
"Canis lupus",1,0.246901811248808,0.282578875171468,0.00686813186813187,0.0293040293040293,0.00716204118173679,251.8,0.114562977754835,1,1,0.220924690181125,0.263380281690141,0.00704225352112676,0.0293040293040293,0.00738007380073801,226.2,0.105606265699432,1
"Eptesicus serotinus",1,0.00452812202097235,0.0288065843621399,0.208791208791209,0.313186813186813,0.0895255147717099,65.5,0.128967648626569,1,1,0.00214489990467112,0.0492957746478873,0.222535211267606,0.313186813186813,0.0802583025830258,66.2,0.133484200318001,1
"Molossus rufus",0,0.186725452812202,0.0192043895747599,0.0865384615384615,0.0293040293040293,0.323187108325873,209.8,0.128991888311065,1,0,0.196615824594852,0.00845070422535211,0.0873239436619718,0.0293040293040293,0.283210332103321,210.9,0.120980966777905,1
"Artibeus phaeotis",1,0.182078169685415,0.0205761316872428,0.0837912087912088,0.313186813186813,0.0456580125335721,190.2,0.12905806717685,1,1,0.193755958055291,0.0253521126760563,0.0859154929577465,0.313186813186813,0.0415129151291513,200,0.131944658401012,1
"Pipistrellus abramus",1,0.0113203050524309,0.0397805212620027,0.201923076923077,0.313186813186813,0.0895255147717099,71.8,0.131147246239207,1,1,0.00762631077216397,0.0690140845070423,0.211267605633803,0.313186813186813,0.0802583025830258,72,0.13627062333657,1
"Plecotus auritus",1,0.0333651096282174,0.00891632373113855,0.221153846153846,0.313186813186813,0.0895255147717099,88.6,0.133229521494345,1,0,0.0169208770257388,0.0373239436619718,0.326760563380282,0.313186813186813,0.586715867158672,146.6,0.256181612882695,1
"Myotis nigricans",0,0.0532650142993327,0.01440329218107,0.115384615384615,0.115384615384615,0.383169203222919,112.7,0.13632134809451,1,0,0.0560057197330791,0.00492957746478873,0.122535211267606,0.115384615384615,0.346863468634686,109,0.129143718496955,1
"Rhinolophus pusillus",1,0.00643469971401335,0.0672153635116598,0.210164835164835,0.313186813186813,0.0895255147717099,72.9,0.137305445269806,1,1,0.00428979980934223,0.0746478873239437,0.209859154929577,0.313186813186813,0.0802583025830258,69.8,0.13644839156654,1
"Nycteris gambiensis",1,0.155743565300286,0.0219478737997256,0.142857142857143,0.313186813186813,0.0644583706356312,179,0.13963875315592,1,0,0.176835081029552,0.0507042253521127,0.236619718309859,0.313186813186813,0.437269372693727,253.7,0.242923042114413,1
"Eptesicus fuscus",0,0.0648236415633937,0.01440329218107,0.127747252747253,0.115384615384615,0.383169203222919,124.2,0.14110560101985,1,0,0.0694709246901811,0.00492957746478873,0.130985915492958,0.115384615384615,0.346863468634686,121.5,0.133526900333446,1
"Mus musculus",1,0.202931363203051,0.45679012345679,0.00824175824175824,0.0293040293040293,0.00895255147717099,240.7,0.14124396513656,1,1,0.15467111534795,0.395774647887324,0.00845070422535211,0.0293040293040293,0.00922509225092251,189.8,0.119485117803116,1
"Sturnira lilium",0,0.168136320305052,0.0308641975308642,0.0879120879120879,0.115384615384615,0.323187108325873,200.8,0.145096865891699,1,0,0.160152526215443,0.0169014084507042,0.0816901408450704,0.115384615384615,0.283210332103321,185.4,0.131467804599831,1
"Glossophaga soricina",0,0.171949475691134,0.0308641975308642,0.0892857142857143,0.115384615384615,0.323187108325873,204.2,0.14613422224364,1,0,0.180529075309819,0.0169014084507042,0.0830985915492958,0.115384615384615,0.283210332103321,202.7,0.135824804559551,1
"Pteropus lylei",1,0.03836987607245,0.102194787379973,0.197802197802198,0.313186813186813,0.0895255147717099,103,0.148215837842629,1,0,0.0450428979980934,0.312676056338028,0.301408450704225,0.313186813186813,0.586715867158672,205.7,0.311806017077166,1
"Phyllostomus hastatus",0,0.183746425166826,0.0425240054869684,0.0824175824175824,0.115384615384615,0.323187108325873,214.8,0.149451947356373,1,0,0.189585319351764,0.0323943661971831,0.0901408450704225,0.115384615384615,0.283210332103321,213.5,0.142143095621461,1
"Myotis lucifugus",0,0.123570066730219,0.01440329218107,0.120879120879121,0.115384615384615,0.383169203222919,172.5,0.151481259679589,1,0,0.122378455672069,0.00492957746478873,0.125352112676056,0.115384615384615,0.346863468634686,165.1,0.142981645966443,1
"Myotis septentrionalis",0,0.117492850333651,0.0377229080932785,0.119505494505495,0.115384615384615,0.383169203222919,170.6,0.154655014307992,1,0,0.124165872259295,0.0232394366197183,0.119718309859155,0.115384615384615,0.346863468634686,168.4,0.145874340551494,1
"Tadarida brasiliensis",0,0.158960915157293,0.01440329218107,0.131868131868132,0.115384615384615,0.383169203222919,203.8,0.160757231562806,1,0,0.170638703527169,0.00492957746478873,0.154929577464789,0.115384615384615,0.346863468634686,209.8,0.15854918849521,1
"Rhinolophus affinis",1,0.000953288846520496,0.285322359396433,0.118131868131868,0.313186813186813,0.0895255147717099,86.7,0.161423968866669,1,1,0.00119161105815062,0.319014084507042,0.123943661971831,0.313186813186813,0.0802583025830258,89.7,0.167518894661373,1
"Sus scrofa",1,0.164799809342231,0.613168724279835,0.00274725274725275,0.0293040293040293,0.0035810205908684,230.1,0.162720167252843,1,1,0.149070543374643,0.633802816901408,0.0028169014084507,0.0293040293040293,0.003690036900369,217.5,0.16373686557778,1
"Myodes glareolus",1,0.354146806482364,0.305898491083676,0.0274725274725275,0.115384615384615,0.0170098478066249,354,0.163982457645962,1,1,0.338298379408961,0.3,0.0267605633802817,0.115384615384615,0.0175276752767528,338.5,0.159594246690122,1
"Pteronotus davyi",1,0.173141086749285,0.00891632373113855,0.25,0.313186813186813,0.0895255147717099,210.1,0.166953947687789,1,1,0.187559580552908,0.0197183098591549,0.245070422535211,0.313186813186813,0.0802583025830258,220.8,0.169158685743423,1
"Ovis aries",0,NA,0.499314128943759,0.00412087912087912,0.115384615384615,0.053715308863026,107.125,0.16813373307807,1,0,NA,0.488732394366197,0.00422535211267606,0.115384615384615,0.0581180811808118,103.25,0.166615110761075,1
"Murina leucogaster",0,0.0259771210676835,0.0233196159122085,0.217032967032967,0.115384615384615,0.46911369740376,115.5,0.170165603360247,1,0,0.0145376549094376,0.0126760563380282,0.214084507042254,0.115384615384615,0.437269372693727,98.1,0.158790441273612,1
"Rattus norvegicus",1,0.24010962821735,0.290809327846365,0.0164835164835165,0.313186813186813,0.0143240823634736,265,0.174982673619504,1,1,0.196258341277407,0.294366197183099,0.0169014084507042,0.313186813186813,0.014760147601476,227.6,0.1670945815399,1
"Bos taurus",1,NA,0.585733882030178,0.00137362637362637,0.115384615384615,0.0017905102954342,115.125,0.176070658520964,1,1,NA,0.529577464788732,0.00140845070422535,0.115384615384615,NA,136.166666666667,0.215456843625858,1
"Taphozous perforatus",1,0.140252621544328,0.0733882030178327,0.267857142857143,0.313186813186813,0.0895255147717099,194.5,0.176842059075565,1,1,0.131673021925643,0.104929577464789,0.226760563380282,0.313186813186813,0.0802583025830258,183.4,0.171361655708111,1
"Bubalus bubalis",1,NA,0.403292181069959,0.0123626373626374,0.313186813186813,0.0116383169203223,98.75,0.185119987134933,1,1,NA,0.391549295774648,0.0126760563380282,0.313186813186813,0.0119926199261993,94.75,0.182351196306422,1
"Procyon lotor",0,0.410152526215443,0.10562414266118,0.0343406593406593,0.115384615384615,0.273052820053715,401.4,0.187710952731123,1,0,0.461987607244995,0.0985915492957746,0.0352112676056338,0.115384615384615,0.227859778597786,437.7,0.187806963625761,1
"Rhinolophus sinicus",1,0.0140610104861773,0.397805212620027,0.126373626373626,0.313186813186813,0.0895255147717099,115.3,0.188190435487671,1,1,0.00714966634890372,0.419718309859155,0.126760563380282,0.313186813186813,0.0802583025830258,109.4,0.189414731071636,1
"Apodemus agrarius",1,0.247616777883699,0.0733882030178327,0.222527472527473,0.313186813186813,0.0895255147717099,278,0.189248956277505,1,1,0.205552907530982,0.104929577464789,0.253521126760563,0.313186813186813,0.0802583025830258,249.2,0.191489745505235,1
"Vulpes vulpes",0,0.206982840800763,0.0960219478737997,0.162087912087912,0.115384615384615,0.383169203222919,260.4,0.192729303874002,1,0,0.153360343183985,0.076056338028169,0.135211267605634,0.115384615384615,0.346863468634686,202.6,0.165375206567418,1
"Pteropus scapulatus",0,0.0716158245948522,0.0987654320987654,0.212912087912088,0.115384615384615,0.46911369740376,164.2,0.193558331478816,1,0,0.0719733079122974,0.0830985915492958,0.201408450704225,0.115384615384615,0.437269372693727,154.5,0.181826867648832,1
"Hipposideros larvatus",1,0.0164442326024785,0.285322359396433,0.266483516483516,0.313186813186813,0.0895255147717099,121.3,0.19419248728819,1,0,0.0189466158245949,0.52112676056338,0.332394366197183,0.313186813186813,0.586715867158672,217.8,0.354474084586129,1
"Chaerephon pumilus",1,0.0700667302192564,0.0329218106995885,0.130494505494506,0.313186813186813,0.46911369740376,152.1,0.203156711400785,1,0,0.0543374642516683,0.0711267605633803,0.216901408450704,0.313186813186813,0.437269372693727,151,0.218564363829259,1
"Molossus molossus",0,0.173141086749285,0.0528120713305898,0.230769230769231,0.115384615384615,0.46911369740376,245.3,0.208244140327496,1,0,0.179694947569113,0.0429577464788732,0.223943661971831,0.115384615384615,0.437269372693727,242.4,0.199850068819632,1
"Capra hircus",0,NA,0.460905349794239,0.00961538461538462,0.115384615384615,0.250671441360788,128.625,0.209144197788757,1,0,NA,0.383098591549296,0.00985915492957747,0.115384615384615,0.20479704797048,105.375,0.178284852458492,1
"Uroderma bilobatum",0,0.176715919923737,0.0946502057613169,0.138736263736264,0.313186813186813,0.383169203222919,242.2,0.22129168116621,1,0,0.179694947569113,0.0732394366197183,0.136619718309859,0.313186813186813,0.346863468634686,235.3,0.209920876864038,1
"Myotis ricketti",1,NA,0.285322359396433,0.207417582417582,0.313186813186813,0.0895255147717099,123.625,0.223863067443135,1,1,NA,0.319014084507042,0.212676056338028,0.313186813186813,0.0802583025830258,126.625,0.231283814153727,1
"Equus asinus",0,NA,0.312757201646091,0.0178571428571429,0.313186813186813,0.256938227394808,117.5,0.225184846271214,1,0,NA,0.295774647887324,0.0197183098591549,0.313186813186813,0.211254612546125,106,0.209983595869854,1
"Rangifer tarandus",0,0.427788369876072,0.281207133058985,0.0398351648351648,0.115384615384615,0.273052820053715,442.6,0.227453620641711,1,0,0.454480457578646,0.249295774647887,0.0394366197183099,0.115384615384615,0.227859778597786,453.4,0.217291449185449,1
"Crocuta crocuta",0,0.2586987607245,0.164609053497942,0.101648351648352,0.313186813186813,0.323187108325873,309.1,0.232266017476696,1,0,0.281935176358437,0.123943661971831,0.0929577464788732,0.313186813186813,0.283210332103321,315.2,0.219046746019855,1
"Rattus rattus",0,0.158245948522402,0.400548696844993,0.032967032967033,0.313186813186813,0.273052820053715,243.6,0.235600262314991,1,0,0.101763584366063,0.322535211267606,0.0338028169014084,0.313186813186813,0.227859778597786,177.8,0.199829640863935,1
"Myotis keenii",0,0.110462345090562,0.0973936899862826,0.203296703296703,0.313186813186813,0.46911369740376,206,0.238690649792824,1,0,0.122378455672069,0.0774647887323944,0.202816901408451,0.313186813186813,0.437269372693727,207,0.230623266338691,1
"Canis mesomelas",0,0.27895614871306,0.104252400548697,0.125,0.313186813186813,0.383169203222919,327.4,0.240912913134298,1,0,0.273236415633937,0.0915492957746479,0.12112676056338,0.313186813186813,0.346863468634686,314.2,0.229192550758693,1
"Carollia brevicauda",0,0.171949475691134,0.0905349794238683,0.214285714285714,0.313186813186813,0.46911369740376,258.2,0.251814135998258,1,0,0.171115347950429,0.0711267605633803,0.208450704225352,0.313186813186813,0.437269372693727,247.8,0.24022979972394,1
"Didelphis marsupialis",0,NA,0.151577503429355,0.163461538461538,0.313186813186813,0.383169203222919,132.25,0.252848764575156,1,0,NA,0.113380281690141,0.173239436619718,0.313186813186813,0.346863468634686,119.25,0.23666750003284,1
"Cavia porcellus",1,NA,0.670781893004115,0.0604395604395604,NA,0.0349149507609669,184.166666666667,0.255378801401548,1,1,NA,0.712676056338028,0.0661971830985915,NA,0.0322878228782288,190.166666666667,0.270387020771616,1
"Myotis mystacinus",0,0.0194232602478551,0.0480109739368999,0.313186813186813,0.313186813186813,0.609668755595345,154.1,0.260695323230745,1,0,0.0135843660629171,0.0373239436619718,0.292957746478873,0.313186813186813,0.586715867158672,139,0.248753747309849,1
"Myotis blythii",0,0.0147759771210677,0.0809327846364883,0.293956043956044,0.313186813186813,0.609668755595345,152.2,0.262504074899152,1,0,0.0107244995233556,0.0619718309859155,0.294366197183099,0.313186813186813,0.586715867158672,140.3,0.253393041607571,1
"Pteropus conspicillatus",1,0.0875834127740705,0.102194787379973,0.206043956043956,0.313186813186813,0.609668755595345,203.6,0.263735544996031,1,0,0.0872259294566254,0.312676056338028,0.333802816901408,0.313186813186813,0.586715867158672,245.7,0.326721496608309,1
"Tatera indica",0,0.321734985700667,0.323731138545953,0.0673076923076923,0.313186813186813,0.29632945389436,377.2,0.264458016727097,1,0,0.316253574833174,0.309859154929577,0.071830985915493,0.313186813186813,0.252767527675277,364.1,0.252779611308067,1
"Myotis myotis",0,0.0187082936129647,0.0809327846364883,0.309065934065934,0.313186813186813,0.609668755595345,157.7,0.266312516219509,1,0,0.0131077216396568,0.0619718309859155,0.295774647887324,0.313186813186813,0.586715867158672,142.5,0.254151376171676,1
"Rhinolophus malayanus",1,0.00905624404194471,0.362825788751715,0.490384615384615,NA,0.210384959713518,194.25,0.268162901972948,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myotis nattereri",0,0.0198999046711153,0.0809327846364883,0.318681318681319,0.313186813186813,0.609668755595345,160.1,0.268473915354216,1,0,0.0142993326978074,0.0619718309859155,0.316901408450704,0.313186813186813,0.586715867158672,146.5,0.258615050495982,1
"Rhinolophus thomasi",1,0.00810295519542421,0.362825788751715,0.493131868131868,NA,0.210384959713518,193.75,0.268611392948131,1,1,0.00643469971401335,0.566197183098592,0.497183098591549,NA,0.174354243542435,219.125,0.311042306236647,1
"Barbastella barbastellus",0,0.0306244041944709,0.0480109739368999,0.346153846153846,0.313186813186813,0.609668755595345,168.3,0.269528958613475,1,0,0.0219256434699714,0.0373239436619718,0.298591549295775,0.313186813186813,0.586715867158672,146.8,0.251548763354641,1
"Taphozous melanopogon",0,0.0438512869399428,0.0480109739368999,0.339285714285714,0.313186813186813,0.609668755595345,178.4,0.270800708788943,1,0,0.0424213536701621,0.0373239436619718,0.353521126760563,0.313186813186813,0.586715867158672,171.8,0.266633820887636,1
"Myotis riparius",0,0.0589847473784557,0.0809327846364883,0.292582417582418,0.313186813186813,0.609668755595345,189.1,0.271071103675904,1,0,0.0610104861773117,0.0619718309859155,0.308450704225352,0.313186813186813,0.586715867158672,184.5,0.266267140346813,1
"Rhinolophus acuminatus",1,0.0117969494756911,0.362825788751715,0.504120879120879,NA,0.210384959713518,199.625,0.272282144265451,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lama glama",1,NA,0.458161865569273,0.271978021978022,NA,0.0895255147717099,194,0.273221800773002,1,1,NA,0.508450704225352,0.238028169014084,NA,0.0802583025830258,191.166666666667,0.275579058607487,1
"Rhinolophus mehelyi",1,0.046234509056244,0.362825788751715,0.473901098901099,NA,0.210384959713518,230.25,0.273336589105644,1,1,0.0216873212583413,0.566197183098592,0.48169014084507,NA,0.174354243542435,232.375,0.31098222218611,1
"Rhinolophus hipposideros",1,0.0313393708293613,0.362825788751715,0.494505494505495,NA,0.210384959713518,218.375,0.274763903450022,1,1,0.0138226882745472,0.566197183098592,0.5,NA,0.174354243542435,227.375,0.313593528728894,1
"Tylonycteris pachypus",1,0.00309818875119161,0.362825788751715,0.527472527472527,NA,0.210384959713518,194.75,0.275945366172238,1,1,0.00571973307912297,0.566197183098592,0.628169014084507,NA,0.174354243542435,241.625,0.343610043451164,1
"Myotis velifer",0,0.0754289799809342,0.0809327846364883,0.307692307692308,0.313186813186813,0.609668755595345,205.1,0.277381928218378,1,0,0.102716873212583,0.0619718309859155,0.309859154929577,0.313186813186813,0.586715867158672,219.7,0.274890107894712,1
"Scotophilus heathii",1,0.00857959961868446,0.362825788751715,0.53021978021978,NA,0.210384959713518,201,0.278002532075924,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nanonycteris veldkampii",1,0.028836987607245,0.362825788751715,0.513736263736264,NA,0.210384959713518,219.25,0.278945999952185,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myotis volans",0,0.0880600571973308,0.0809327846364883,0.303571428571429,0.313186813186813,0.609668755595345,215.1,0.279083967837481,1,0,0.0949714013346044,0.0619718309859155,0.312676056338028,0.313186813186813,0.586715867158672,213.6,0.273904393800807,1
"Canis latrans",0,0.440181124880839,0.142661179698217,0.133241758241758,0.313186813186813,0.383169203222919,469.5,0.282488015846109,1,0,0.488560533841754,0.101408450704225,0.133802816901408,0.313186813186813,0.346863468634686,498.1,0.276764416653777,1
"Pipistrellus hesperidus",1,0.034556720686368,0.362825788751715,0.535714285714286,NA,0.210384959713518,229.25,0.285870438716472,1,1,0.0352716873212583,0.566197183098592,0.614084507042253,NA,0.174354243542435,270.125,0.347476905251135,1
"Carollia sowelli",1,NA,0.362825788751715,NA,NA,0.210384959713518,191,0.286605374232617,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhinolophus creaghi",1,0.0722116301239275,0.362825788751715,0.501373626373626,NA,0.210384959713518,262.5,0.286699001240697,1,1,0.0626787416587226,0.566197183098592,0.498591549295775,NA,0.174354243542435,278.375,0.325455429398881,1
"Megaerops niphanae",1,0.00691134413727359,0.362825788751715,0.567307692307692,NA,0.210384959713518,206,0.28685744622755,1,1,0.0117969494756911,0.566197183098592,0.538028169014084,NA,0.174354243542435,232,0.322594136282701,1
"Eptesicus nilssonii",1,0.0502859866539562,0.362825788751715,0.526098901098901,NA,0.210384959713518,244,0.287398909054523,1,1,0.0393231649189704,0.566197183098592,0.57887323943662,NA,0.174354243542435,268.125,0.339686957749154,1
"Rousettus amplexicaudatus",1,0.00214489990467112,0.155006858710562,0.192307692307692,1,0.0895255147717099,117,0.287796993138927,1,1,0.0059580552907531,0.261971830985915,0.150704225352113,1,0.0802583025830258,126.9,0.299778482842361,1
"Hipposideros caffer",1,0.0660152526215443,0.156378600823045,0.15521978021978,1,0.0644583706356312,162.6,0.28841440086,1,1,0.0681601525262154,0.252112676056338,0.161971830985915,1,0.0581180811808118,176.9,0.308072548149856,1
"Pipistrellus subflavus",0,0.0861534795042898,0.0809327846364883,0.357142857142857,0.313186813186813,0.609668755595345,221.3,0.289416938013159,1,0,0.0891325071496663,0.0619718309859155,0.314084507042254,0.313186813186813,0.586715867158672,208.9,0.273018305104664,1
"Felis catus",0,NA,0.582990397805213,0.010989010989011,0.313186813186813,0.253357206803939,165,0.290130857196244,1,0,NA,0.515492957746479,0.0112676056338028,0.313186813186813,0.207564575645756,143,0.261877988053213,1
"Arvicanthis niloticus",0,0.282292659675882,0.307270233196159,0.166208791208791,0.313186813186813,0.383169203222919,365.8,0.290425540098113,1,0,0.267874165872259,0.290140845070423,0.140845070422535,0.313186813186813,0.346863468634686,340.7,0.271782072637343,1
"Cynopterus horsfieldii",1,0.0142993326978074,0.362825788751715,0.575549450549451,NA,0.210384959713518,215.25,0.290764882928123,1,1,0.0200190657769304,0.566197183098592,0.535211267605634,NA,0.174354243542435,240.125,0.323945440005898,1
"Macaca fascicularis",0,0.283007626310772,0.573388203017833,0.0247252747252747,0.313186813186813,0.260519247985676,370.9,0.290965433045274,1,0,0.31780266920877,0.511267605633803,0.0253521126760563,0.313186813186813,0.214944649446494,383.3,0.276510770030387,1
"Mephitis mephitis",0,0.55815061963775,0.0548696844993141,0.148351648351648,0.313186813186813,0.383169203222919,557.9,0.291545593779689,1,0,0.550047664442326,0.0450704225352113,0.138028169014085,0.313186813186813,0.346863468634686,542.3,0.278639307562624,1
"Microtus agrestis",0,0.327097235462345,0.484224965706447,0.0508241758241758,0.313186813186813,0.284691136974038,401.4,0.292004865430764,1,0,0.29730695900858,0.412676056338028,0.0507042253521127,0.313186813186813,0.239852398523985,358.4,0.262745290481904,1
"Pipistrellus pygmaeus",1,0.044208770257388,0.362825788751715,0.56043956043956,NA,0.210384959713518,243.875,0.294464769790545,1,1,0.0367016205910391,0.566197183098592,0.514084507042254,NA,0.174354243542435,253.875,0.32283438856858,1
"Hipposideros bicolor",0,0.0598188751191611,0.111796982167353,0.39010989010989,0.313186813186813,0.609668755595345,208.5,0.296916263235712,1,0,0.0817445185891325,0.0936619718309859,0.307042253521127,0.313186813186813,0.586715867158672,206.2,0.276470284857346,1
"Artibeus cinereus",0,0.160271687321258,0.0480109739368999,0.361263736263736,0.313186813186813,0.609668755595345,279.3,0.29848039326081,1,0,0.157888465204957,0.0373239436619718,0.305633802816901,0.313186813186813,0.586715867158672,261.9,0.280149778405863,1
"Urocyon cinereoargenteus",0,0.3465204957102,0.279835390946502,0.173076923076923,0.313186813186813,0.383169203222919,416.7,0.299157765228671,1,0,0.382983794089609,0.247887323943662,0.149295774647887,0.313186813186813,0.346863468634686,432.5,0.288043434900532,1
