"Sp","Betacov","R.Alb","R.Car3","R.Gut1","R.Stock1","P.Alb","P.Car3","P.Gut1","P.Stock1","InSample","Rank","PropRank"
"Pteropus voeltzkowi",0,NA,0.493727598566308,0.637992831541219,0.148956356736243,NA,0.131832185986685,0.262680993002237,0.374774269004812,0,473.333333333333,0.426892262281257
"Mops spurrelli",0,0.643371017471737,0.246415770609319,0.468637992831541,0.35673624288425,0.161,0.306354784835107,0.422298646712177,0.256842232484747,0,450,0.428790255949212
"Scotoecus albigula",0,NA,0.352150537634409,0.264336917562724,0.672675521821632,NA,0.20819138910406,0.69803402947866,0.151965768014759,0,465.666666666667,0.429720992339588
"Hipposideros madurae",0,NA,0.388888888888889,0.471326164874552,NA,NA,0.180881873467803,0.420573779223408,NA,0,480,0.43010752688172
"Myotis welwitschii",0,0.107399794450154,0.379032258064516,0.372759856630824,0.861480075901328,0.2255,0.186408407630957,0.530684517124134,0.09115060571666,0,462.875,0.430167996261706
"Pteropus livingstonii",0,NA,0.474910394265233,0.615591397849462,0.202087286527514,NA,0.137993970232597,0.285869551954296,0.34358925460025,0,476.666666666667,0.43086302621407
"Mops nanulus",0,0.487667009249743,0.242831541218638,0.451612903225806,0.5426944971537,0.176166666666667,0.307770529786272,0.448881647792674,0.19419097483634,0,455.375,0.431201487711972
"Eptesicus bobrinskoi",0,0.535971223021583,0.305555555555556,0.546594982078853,0.336812144212524,0.17375,0.249028987421483,0.361479605733053,0.266397514131652,0,456.875,0.431233476217129
"Pipistrellus westralis",0,0.287769784172662,0.576164874551971,0.53494623655914,0.326375711574953,0.191583333333333,0.0898600155013008,0.377116015881926,0.268836964753761,0,466,0.431314151714681
"Mops demonstrator",0,0.557553956834532,0.46505376344086,0.419354838709677,0.289373814041746,0.172166666666667,0.140354805713875,0.482650725321702,0.287448979346807,0,458.625,0.432834093256704
"Eptesicus hottentotus",0,0.226104830421377,0.381720430107527,0.399641577060932,0.726755218216319,0.203083333333333,0.185365731117582,0.502981706556663,0.137590233109156,0,464.5,0.433555513951539
"Kerivoula minuta",0,0.161870503597122,0.299283154121864,0.525985663082437,0.755218216318786,0.215916666666667,0.260141062634011,0.383885370309019,0.128290939071943,0,468.625,0.435589384280052
"Hipposideros dyacorum",0,0.491778006166495,0.370967741935484,0.567204301075269,0.315939278937381,0.17575,0.192778393335232,0.339631003004038,0.273311227211899,0,464.625,0.436472332028657
"Tadarida ventralis",0,0.587872559095581,0.425627240143369,0.276881720430108,0.4573055028463,0.1705,0.160661415203817,0.669697912779773,0.21794545084032,0,459.5,0.436921755628839
"Miniopterus medius",0,0.5775950668037,0.275089605734767,0.220430107526882,0.687855787476281,0.171,0.27712928906375,0.774977487665331,0.147579167718272,0,460,0.440242641885407
"Mops brachypterus",0,0.616135662898253,0.212365591397849,0.375448028673835,0.567362428842505,0.168166666666667,0.342660577776474,0.527217682082981,0.183460010829115,0,463.375,0.442827927953111
"Nycteris intermedia",0,0.640287769784173,0.256272401433692,0.443548387096774,0.43168880455408,0.162333333333333,0.300976923190669,0.460837121512498,0.225064844786914,0,464.75,0.44294934071718
"Hypsugo arabicus",0,NA,0.359318996415771,0.53405017921147,0.441176470588235,NA,0.204358903023022,0.378260124063108,0.222580526764577,0,487.333333333333,0.444848548738492
"Plecotus taivanus",0,0.514902363823227,0.516129032258065,0.400537634408602,0.349146110056926,0.17475,0.12014302547979,0.502722237550596,0.260553737683862,0,473,0.445178785136705
"Rhinolophus madurensis",0,0.644398766700925,0.526881720430108,0.561827956989247,0.0493358633776091,0.160916666666667,0.112772098557638,0.34350619620685,0.455248484281511,0,473.5,0.445611076874472
"Acerodon humilis",0,NA,0.543010752688172,0.612903225806452,0.182163187855787,NA,0.104308504938657,0.288559207092148,0.354577263384206,0,494,0.446025722116804
