"Sp","Betacov","R.Alb","R.Car3","R.Dal1","R.Far1","R.Gut1","R.Po2","R.Po3","R.Stock1","P.Alb","P.Car3","P.Dal1","P.Far1","P.Gut1","P.Po2","P.Po3","P.Stock1","InSample","Rank","PropRank"
"Hipposideros larvatus",1,0.0996916752312436,0.0967741935483871,0.553113553113553,0.180505415162455,0.0582437275985663,0.36426116838488,0.148648648648649,0.112903225806452,0.226916666666667,0.4416855478342,0.580795905515553,0.392419719889019,0.933250211416484,0.4,0.324294410625346,0.397384165878359,1,84.5,0.201767700936773
"Rousettus amplexicaudatus",1,0.0092497430626927,0.00896057347670251,0.351648351648352,0.144404332129964,0.0206093189964158,1,0.148648648648649,0.0180265654648956,0.267833333333333,0.602591630041465,0.70044371385569,0.417177135609305,0.956415799986694,0.2,0.324294410625346,0.529931492495569,1,46.9375,0.212693441678459
"Rhinolophus sinicus",1,0.0904419321685509,0.192652329749104,0.725274725274725,0.137184115523466,0.151433691756272,0.36426116838488,0.148648648648649,0.0047438330170778,0.228166666666667,0.368487964803119,0.466793068550396,0.434099449427566,0.874838104295783,0.4,0.324294410625346,0.595446418715197,1,99.875,0.226830055565341
"Taphozous perforatus",1,0.596608427543679,0.0170250896057348,0.186813186813187,0.194945848375451,0.0555555555555556,0.36426116838488,0.148648648648649,0.281783681214421,0.169416666666667,0.557749195962803,0.916431348086131,0.388292377158777,0.934096499845725,0.4,0.324294410625346,0.292203585642105,1,143.6875,0.230705200767695
"Artibeus lituratus",1,0.798561151079137,0.435483870967742,0.0732600732600733,0.0144404332129964,0.219534050179211,0.0412371134020619,0.0045045045045045,0.293168880455408,0.13525,0.154669808983371,1.29766267559649,0.635856993025663,0.775572686929734,0.8,0.434184520515456,0.284695572215791,1,231,0.235023759632642
"Murina leucogaster",0,0.168036998972251,0.172939068100358,0.0769230769230769,0.151624548736462,0.0824372759856631,0.151202749140893,0.623873873873874,0.475332068311195,0.215333333333333,0.382439037917805,1.2871094070826,0.404550162606648,0.92111725450741,0.6,0.247371333702269,0.213864688374137,1,146.625,0.237796207505472
"Hipposideros caffer",1,0.278520041109969,0.014336917562724,0.355311355311355,0.129963898916967,0.0134408602150538,1,0.0900900900900901,0.0777988614800759,0.193166666666667,0.561661061408164,0.689274033122316,0.43814137896861,0.959930131920737,0.2,0.346272432603368,0.425125869114374,1,85.3125,0.244932753085779
"Nycteris gambiensis",1,0.664953751284687,0.157706093189964,0.0402930402930403,0.0974729241877256,0.405913978494624,0.36426116838488,0.0900900900900901,0.17741935483871,0.15,0.390785035879999,1.38881677728883,0.461377621769584,0.499438182311227,0.4,0.346272432603368,0.356519514738504,1,196.75,0.249763800095465
"Rhinolophus stheno",1,0.0334018499486125,0.0869175627240143,0.3003663003663,0.220216606498195,0.0663082437275986,1,0.265765765765766,0.0588235294117647,0.247,0.455528753490505,0.737621749265733,0.359859781884928,0.930341387241425,0.2,0.302316388647324,0.448549504037055,1,76.625,0.253974982305281
"Rhinolophus thomasi",1,0.0349434737923947,0.0654121863799283,0.652014652014652,0.469314079422383,0.0725806451612903,NA,0.475225225225225,0.0256166982922201,0.244833333333333,0.479377312381032,0.493257746318137,0.25117884862232,0.928371364054489,NA,0.280338366669302,0.491371785061746,1,89.7857142857143,0.256443851469728
"Rhinolophus shameli",1,0.100719424460432,0.0743727598566308,0.3003663003663,0.223826714801444,0.0618279569892473,1,0.265765765765766,0.0332068311195446,0.226833333333333,0.468888404681224,0.737621749265733,0.358443263474701,0.931518462247736,0.2,0.302316388647324,0.47996292959633,1,79.1875,0.257510719169921
"Myotis ricketti",1,NA,0.111111111111111,0.553113553113553,0.187725631768953,0.0967741935483871,0.36426116838488,0.148648648648649,0.346299810246679,NA,0.425196375830942,0.580795905515553,0.391090249721859,0.914172582918278,0.4,0.324294410625346,0.261635864456665,1,126.571428571429,0.258276302403173
"Myonycteris torquata",1,0.154676258992806,0.00627240143369176,0.908424908424908,0.346570397111913,0.0887096774193548,NA,0.265765765765766,0.0426944971537002,0.217916666666667,0.620435589384393,0.366101637014987,0.31354440481445,0.918048329091643,NA,0.302316388647324,0.464311800482432,1,100.642857142857,0.259016272328877
"Rhinolophus malayanus",1,0.039054470709147,0.0779569892473118,0.652014652014652,0.458483754512635,0.0931899641577061,NA,0.475225225225225,0.0303605313092979,0.243833333333333,0.466090017123314,0.493257746318137,0.252808761570186,0.915708735773942,NA,0.280338366669302,0.488545327593432,1,95.9285714285714,0.260897941025139
"Cynopterus horsfieldii",1,0.0678314491264132,0.0259856630824373,0.652014652014652,0.548736462093863,0.0349462365591398,NA,0.475225225225225,0.0407969639468691,0.2345,0.537795019733911,0.493257746318137,0.221547294869921,0.945336339762082,NA,0.280338366669302,0.465654703128732,1,87.5,0.2636480931498
"Rhinolophus clivosus",1,0.159301130524152,0.0564516129032258,0.3003663003663,0.216606498194946,0.0958781362007168,1,0.265765765765766,0.0227703984819734,0.217166666666667,0.490106358239227,0.737621749265733,0.36435920688901,0.914739912683558,0.2,0.302316388647324,0.505604616509903,1,86.9375,0.264642480304635
